            TIME           N1-T1           N1-T2           N1-T3           N1-R1           N1-R2           N1-R3           N2-T1           N2-T2           N2-T3           N2-R1           N2-R2           N2-R3           N3-T1           N3-T2           N3-T3           N3-R1           N3-R2           N3-R3           N4-T1           N4-T2           N4-T3           N4-R1           N4-R2           N4-R3           N5-T1           N5-T2           N5-T3           N5-R1           N5-R2           N5-R3           N6-T1           N6-T2           N6-T3           N6-R1           N6-R2           N6-R3           N7-T1           N7-T2           N7-T3           N7-R1           N7-R2           N7-R3           N8-T1           N8-T2           N8-T3           N8-R1           N8-R2           N8-R3           N9-T1           N9-T2           N9-T3           N9-R1           N9-R2           N9-R3          N10-T1          N10-T2          N10-T3          N10-R1          N10-R2          N10-R3          N11-T1          N11-T2          N11-T3          N11-R1          N11-R2          N11-R3
      0.50000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00409813      0.07829851      0.00000000      0.00000000      0.00000000      0.15691864     -0.03266852      0.31127003      0.00000000      0.00000000      0.00000000      0.31383728     -0.10958211      0.69318974      0.00000000      0.00000000      0.00000000      0.47075591     -0.25752186      1.21467275      0.00000000      0.00000000      0.00000000      0.62767455     -0.49742542      1.86290466      0.00000000      0.00000000      0.00000000      0.78459319     -0.84797064      2.62195649      0.00000000      0.00000000      0.00000000      0.94151183     -1.32511654      3.47317608      0.00000000      0.00000000      0.00000000      1.09843047     -1.94171120      4.39564643      0.00000000      0.00000000      0.00000000      1.25534911     -2.70717604      5.36669970      0.00000000      0.00000000      0.00000000      1.41226774     -3.62727428      6.36247423      0.00000000      0.00000000      0.00000000      1.56918638
      0.55000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00495514      0.08607288      0.00000000      0.00000000      0.00000000      0.17257345     -0.03947083      0.34173450      0.00000000      0.00000000      0.00000000      0.34514690     -0.13222945      0.75938972      0.00000000      0.00000000      0.00000000      0.51772035     -0.31018310      1.32663095      0.00000000      0.00000000      0.00000000      0.69029380     -0.59775293      2.02660671      0.00000000      0.00000000      0.00000000      0.86286725     -1.01610364      2.83852230      0.00000000      0.00000000      0.00000000      1.03544070     -1.58251474      3.73825752      0.00000000      0.00000000      0.00000000      1.20801415     -2.30986718      4.69908327      0.00000000      0.00000000      0.00000000      1.38058760     -3.20626069      5.69245556      0.00000000      0.00000000      0.00000000      1.55316105     -4.27477321      6.68886354      0.00000000      0.00000000      0.00000000      1.72573450
      0.60000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00589235      0.09383151      0.00000000      0.00000000      0.00000000      0.18821774     -0.04689804      0.37201179      0.00000000      0.00000000      0.00000000      0.37643547     -0.15689013      0.82471510      0.00000000      0.00000000      0.00000000      0.56465321     -0.36730500      1.43595129      0.00000000      0.00000000      0.00000000      0.75287094     -0.70603195      2.18413063      0.00000000      0.00000000      0.00000000      0.94108868     -1.19642810      3.04282631      0.00000000      0.00000000      0.00000000      1.12930641     -1.85649341      3.98170797      0.00000000      0.00000000      0.00000000      1.31752415     -2.69823486      4.96761293      0.00000000      0.00000000      0.00000000      1.50574188     -3.72724237      5.96571760      0.00000000      0.00000000      0.00000000      1.69395961     -4.94249137      6.94076746      0.00000000      0.00000000      0.00000000      1.88217735
      0.65000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00690938      0.10157302      0.00000000      0.00000000      0.00000000      0.20385056     -0.05494399      0.40208582      0.00000000      0.00000000      0.00000000      0.40770113     -0.18352599      0.88909375      0.00000000      0.00000000      0.00000000      0.61155169     -0.42874198      1.54242915      0.00000000      0.00000000      0.00000000      0.81540225     -0.82184858      2.33503653      0.00000000      0.00000000      0.00000000      1.01925282     -1.38797808      3.23409295      0.00000000      0.00000000      0.00000000      1.22310338     -2.14509762      4.20236725      0.00000000      0.00000000      0.00000000      1.42695394     -3.10326522      5.19976191      0.00000000      0.00000000      0.00000000      1.63080451     -4.26421322      6.18497346      0.00000000      0.00000000      0.00000000      1.83465507     -5.62127654      7.11720296      0.00000000      0.00000000      0.00000000      2.03850563
      0.70000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00800581      0.10929605      0.00000000      0.00000000      0.00000000      0.21947101     -0.06360205      0.43194076      0.00000000      0.00000000      0.00000000      0.43894202     -0.21209599      0.95245543      0.00000000      0.00000000      0.00000000      0.65841304     -0.49433821      1.64586863      0.00000000      0.00000000      0.00000000      0.87788405     -0.94476278      2.47891421      0.00000000      0.00000000      0.00000000      1.09735506     -1.58973529      3.41162723      0.00000000      0.00000000      0.00000000      1.31682607     -2.44628802      4.39926126      0.00000000      0.00000000      0.00000000      1.53629708     -3.52130277      5.39443505      0.00000000      0.00000000      0.00000000      1.75576809     -4.81118075      6.34940565      0.00000000      0.00000000      0.00000000      1.97523911     -6.30201520      7.21835883      0.00000000      0.00000000      0.00000000      2.19471012
      0.75000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.00918120      0.11699923      0.00000000      0.00000000      0.00000000      0.23507816     -0.07286509      0.46156105      0.00000000      0.00000000      0.00000000      0.47015633     -0.24255628      1.01473190      0.00000000      0.00000000      0.00000000      0.70523449     -0.56392817      1.74608312      0.00000000      0.00000000      0.00000000      0.94031266     -1.07431056      2.61538474      0.00000000      0.00000000      0.00000000      1.17539082     -1.80063618      3.57481845      0.00000000      0.00000000      0.00000000      1.41046899     -2.75795924      4.57160799      0.00000000      0.00000000      0.00000000      1.64554715     -3.94862731      5.55092224      0.00000000      0.00000000      0.00000000      1.88062532     -5.36215217      6.45889135      0.00000000      0.00000000      0.00000000      2.11570348     -6.97578675      7.24557001      0.00000000      0.00000000      0.00000000      2.35078164
      0.80000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.01043507      0.12468123      0.00000000      0.00000000      0.00000000      0.25067111     -0.08272553      0.49093138      0.00000000      0.00000000      0.00000000      0.50134223     -0.27486035      1.07585702      0.00000000      0.00000000      0.00000000      0.75201334     -0.63733728      1.84289580      0.00000000      0.00000000      0.00000000      1.00268445     -1.21000641      2.74410193      0.00000000      0.00000000      0.00000000      1.25335557     -2.01957918      3.72314311      0.00000000      0.00000000      0.00000000      1.50402668     -3.07795877      4.71882176      0.00000000      0.00000000      0.00000000      1.75469779     -4.38149600      5.66890034      0.00000000      0.00000000      0.00000000      2.00536891     -5.91121747      6.51399166      0.00000000      0.00000000      0.00000000      2.25604002     -7.63401152      7.20127102      0.00000000      0.00000000      0.00000000      2.50671113
      0.85000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.01176692      0.13234072      0.00000000      0.00000000      0.00000000      0.26624894     -0.09317533      0.52003672      0.00000000      0.00000000      0.00000000      0.53249788     -0.30895905      1.13576680      0.00000000      0.00000000      0.00000000      0.79874683     -0.71438238      1.93614001      0.00000000      0.00000000      0.00000000      1.06499578     -1.35134557      2.86475348      0.00000000      0.00000000      0.00000000      1.33124473     -2.24543209      3.85616713      0.00000000      0.00000000      0.00000000      1.59749369     -3.40410575      4.84051532      0.00000000      0.00000000      0.00000000      1.86374265     -4.81618468      5.74843032      0.00000000      0.00000000      0.00000000      2.12999160     -6.45262939      6.51593069      0.00000000      0.00000000      0.00000000      2.39624057     -8.26858916      7.08893012      0.00000000      0.00000000      0.00000000      2.66248954
      0.90000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.01317621      0.13997641      0.00000000      0.00000000      0.00000000      0.28181081     -0.10420603      0.54886248      0.00000000      0.00000000      0.00000000      0.56362162     -0.34480098      1.19439990      0.00000000      0.00000000      0.00000000      0.84543243     -0.79487289      2.02566020      0.00000000      0.00000000      0.00000000      1.12724325     -1.49780730      2.97706266      0.00000000      0.00000000      0.00000000      1.40905406     -2.47704066      3.97354815      0.00000000      0.00000000      0.00000000      1.69086487     -3.73421131      4.93650082      0.00000000      0.00000000      0.00000000      1.97267568     -5.24903025      5.78995032      0.00000000      0.00000000      0.00000000      2.25448649     -6.98088181      6.46656535      0.00000000      0.00000000      0.00000000      2.53629730     -8.87202792      6.91296563      0.00000000      0.00000000      0.00000000      2.81810811
      0.95000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.01466238      0.14758700      0.00000000      0.00000000      0.00000000      0.29735579     -0.11580870      0.57739418      0.00000000      0.00000000      0.00000000      0.59471158     -0.38233212      1.25169698      0.00000000      0.00000000      0.00000000      0.89206737     -0.87861053      2.11131125      0.00000000      0.00000000      0.00000000      1.18942316     -1.64885599      3.08078792      0.00000000      0.00000000      0.00000000      1.48677895     -2.71323428      4.07503516      0.00000000      0.00000000      0.00000000      1.78413473     -4.06609484      5.00678704      0.00000000      0.00000000      0.00000000      2.08149052     -5.67646680      5.79426289      0.00000000      0.00000000      0.00000000      2.37884631     -7.49077729      6.36834527      0.00000000      0.00000000      0.00000000      2.67620210     -9.43755357      6.67864647      0.00000000      0.00000000      0.00000000      2.97355789
      1.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000     -0.01622485      0.15517122      0.00000000      0.00000000      0.00000000      0.31288302     -0.12797402      0.60561781      0.00000000      0.00000000      0.00000000      0.62576604     -0.42149645      1.30760150      0.00000000      0.00000000      0.00000000      0.93864905     -0.96539093      2.19295986      0.00000000      0.00000000      0.00000000      1.25153207     -1.80394521      3.17572481      0.00000000      0.00000000      0.00000000      1.56441509     -2.95283561      4.16047011      0.00000000      0.00000000      0.00000000      1.87729811     -4.39760493      5.05157724      0.00000000      0.00000000      0.00000000      2.19018113     -6.09506616      5.76251992      0.00000000      0.00000000      0.00000000      2.50306415     -7.97749600      6.22426579      0.00000000      0.00000000      0.00000000      2.81594716     -9.95921072      6.39197944      0.00000000      0.00000000      0.00000000      3.12883018
