time,tip_u_z,elbow_u_z
0.008283,-2.199436823513169e-13,6.502362105694766e-06
0.017070,-2.06744454198559e-12,3.292668175295638e-05
0.025406,1.411059077377068e-11,7.424678218367697e-05
0.034023,-1.202285031811899e-10,0.000136021191679161
0.043406,8.150320105183171e-10,0.000228534943985267
0.053527,-5.035725229570232e-09,0.0003602462972230624
0.064348,2.741416525304088e-08,0.0005454325904765175
0.076097,-1.149588938137356e-07,0.0008058395846351041
0.089022,2.637764788813645e-08,0.001177253279657547
0.103279,2.142032264248333e-05,0.001707536257757756
0.118949,9.666673188766404e-05,0.002461321803245132
0.136363,0.0002076096641503843,0.003541960337855627
0.156844,0.0003442981368843734,0.005189055197813789
0.180602,0.000529945007234023,0.007679308942070858
0.208504,0.0008247865817604767,0.01150168784997934
0.241057,0.001313243831962594,0.01733897483412635
0.279664,0.002096580474145952,0.02643498697296798
0.326192,0.003325404676426711,0.04094760012093102
0.378503,0.005143141398483916,0.06249869844570054
0.440078,0.007870428856721077,0.09588456819744601
0.513745,0.01204555317634516,0.1486138311436661
0.598287,0.01790136761384831,0.2283717873630813
0.696388,0.02583860835452954,0.3497159260428516
0.806587,0.03544596514759212,0.5268846175364246
0.923567,0.04507542530015556,0.7667507544889767
0.952802,0.04725533374959131,0.8352952142008979
0.979515,0.0491025279809781,0.9013366674807487
1.015227,0.05131151902247775,0.9942366813598341
1.061356,0.05375235474085734,1.121603994922148
1.123818,0.05612054422067654,1.305915407580202
1.207463,0.05661183757778127,1.569394197409911
1.316183,0.05307167757843329,1.931043252810277
1.354180,0.05084286996987335,2.06004802519947
1.388534,0.0482687002638538,2.178429100870583
1.433299,0.04433657430521191,2.332616870501123
1.494631,0.0386692861324576,2.544248039266023
1.586098,0.0297823498977024,2.856806096195538
1.713212,0.02232454411897405,3.277637615024632
1.748856,0.02300559791862861,3.390103520552001
1.781774,0.02386130905230628,3.493944348257558
1.825025,0.02671085611841172,3.626180630445619
1.886906,0.03553968215255604,3.808716000906856
1.978896,0.05940309211935242,4.063243954030265
2.116857,0.1256510777423302,4.403161154789085
2.286304,0.2649685622363471,4.754599057403146
2.457248,0.4745114725840911,5.040344895718465
2.615290,0.7258668771938004,5.244808049433223
2.771600,1.020341788914968,5.39060984191715
2.947577,1.391419963338347,5.486807114003081
3.158089,1.862449150975291,5.50764002968358
3.389591,2.373118008851235,5.414395645201859
3.459862,2.519628417026515,5.360986426995312
3.523245,2.64937602236368,5.304559799767519
3.597236,2.794805119546929,5.22776161130083
3.724171,3.031678363614941,5.070610768624828
3.907402,3.352043370068382,4.795339500215251
3.995705,3.500159801678216,4.645491820117881
4.076018,3.637200568060331,4.504882838057893
4.164042,3.789563887164379,4.347978859988455
4.308634,4.050540236114887,4.090512741581814
4.510910,4.444663035864138,3.748197900803989
