time,u_x,u_y,u_z
0.100000,-0.000297291617134889,-2.388803237381919e-05,0.000156384278269588
0.200000,-0.001676386845482804,-0.0002006187716857988,0.0009011549575303586
0.300000,-0.005004076370350729,-0.0008458492912068703,0.002763280045381484
0.400000,-0.01104499594832903,-0.002409535612425008,0.006266953278501391
0.500000,-0.02060388857845524,-0.005266969927868498,0.011937965672899
0.600000,-0.03459560730367645,-0.009557409005887765,0.02025893194905717
0.700000,-0.05402686659756899,-0.01529065262274237,0.03169238873161218
0.800000,-0.07982210715558057,-0.02260227028830491,0.04672391570296627
0.900000,-0.1127438874366169,-0.03181050629783773,0.06582837790987162
1.000000,-0.1535506417221077,-0.04322220557779988,0.08944504336057101
1.100000,-0.2031562008300342,-0.05695181963590713,0.1180317961025139
1.200000,-0.2626216147956408,-0.07291415257748983,0.1520484004604182
1.300000,-0.333009445895339,-0.09099641923043104,0.1918968619248132
1.400000,-0.415251381501391,-0.111253659534273,0.2379617517487949
1.500000,-0.5102313574355383,-0.1338347553616809,0.2906243376398082
1.600000,-0.6189574003882919,-0.1587029219901717,0.3502015342574126
1.700000,-0.7425947979765484,-0.1855275342496412,0.4169515308338664
1.800000,-0.8824163283732546,-0.2138411504145272,0.49113697487641
1.900000,-1.039663224219392,-0.2432557053789435,0.5730243621180009
2.000000,-1.215446794095313,-0.2734943375566334,0.6628428947233928
2.100000,-1.410939455807372,-0.3041788751440926,0.7608005524342666
2.200000,-1.627522685950642,-0.3346060855944458,0.8670553021989875
2.300000,-1.8666491775384,-0.3637683293341459,0.9816326788863827
2.400000,-2.129738430921388,-0.3905870781279602,1.104464144649899
2.500000,-2.418142994208,-0.4140607827654653,1.23544483623637
2.600000,-2.732507392754147,-0.4331115334689037,1.37404357382189
2.700000,-3.07238705420635,-0.4463060480593156,1.518957372951542
2.800000,-3.436940365099125,-0.4519085867823069,1.66849516140879
2.900000,-3.825165265702238,-0.4483606783700999,1.820930178312306
3.000000,-4.235831990177542,-0.4346556289683811,1.974616143903607
3.100000,-4.667687222467698,-0.410225394378366,2.128120970985559
3.200000,-5.119441476737595,-0.3744905978309174,2.28004708181272
3.300000,-5.589736277395025,-0.3265462809056996,2.42872712741801
3.400000,-6.077134001206761,-0.2653960811467528,2.57237747958688
3.500000,-6.580069885638077,-0.1904396376456191,2.709471606108989
3.600000,-7.096848890797381,-0.1016026667521826,2.83873832944052
3.700000,-7.62565843149301,0.00101364143625204,2.958993464922238
3.800000,-8.164621740432969,0.1175442026265296,3.069042117862341
3.900000,-8.711844519361534,0.2482800119808894,3.167667087350598
4.000000,-9.265356824190995,0.3932233598578986,3.253883822998802
4.100000,-9.823265984755574,0.5519501562404173,3.327206750564433
4.200000,-10.38391569111042,0.7239030571358193,3.387460447756112
4.300000,-10.94551985771233,0.9086670819880694,3.434322872061491
4.400000,-11.50600895433502,1.106043699625823,3.467182914119275
4.500000,-12.06342760817028,1.315885893441883,3.485445906619875
4.600000,-12.61601075225366,1.537695206385234,3.488876141342431
4.700000,-13.16211257336186,1.770591515793238,3.477593759602762
4.800000,-13.70024831951249,2.013803217738535,3.45172431590306
4.900000,-14.22876797137065,2.266823530079154,3.411119553245977
5.000000,-14.74575877148098,2.529143060525023,3.355464266381792
5.100000,-15.24977939546505,2.800146511304626,3.284700467051416
5.200000,-15.74008530523203,3.079150297563068,3.199179639018085
5.300000,-16.215769087035,3.365366862114534,3.099150256133004
5.400000,-16.67529002836794,3.65783754557136,2.98444492161881
5.500000,-17.1168495643445,3.955365072377858,2.854880805127923
5.600000,-17.53914140983833,4.256415809327339,2.710775359725739
5.700000,-17.94166267275775,4.559146324014606,2.552983961406129
5.800000,-18.32403640004348,4.861614133505378,2.382380670797186
5.900000,-18.68544210352446,5.161790308438855,2.199450265232676
6.000000,-19.02488365804018,5.457392708426849,2.004532642491315
6.100000,-19.34178522610635,5.746083866520761,1.79826341363966
6.200000,-19.63651425665611,6.025878266513162,1.581640832006663
6.300000,-19.91014160126302,6.295044142773112,1.355847035814848
6.400000,-20.163495010649,6.551665000998348,1.122057806834839
6.500000,-20.39696725001923,6.793661173391137,0.8813084039176663
6.600000,-20.61114667601331,7.019146737861112,0.6346895232419946
6.700000,-20.80726628164058,7.226724666028259,0.3836366866184933
6.800000,-20.98712589629736,7.415687527335731,0.1297074965983894
6.900000,-21.15239477070855,7.58563577659674,-0.1256818059595
7.000000,-21.30407433469757,7.735863531436818,-0.3810957417608696
7.100000,-21.44288584457855,7.865574624716513,-0.6350407932584707
7.200000,-21.56979205661225,7.97452911090292,-0.8861459201628306
7.300000,-21.6860575429081,8.063197570085633,-1.1331972244992
7.400000,-21.79303671149831,8.132292587256782,-1.375071632083116
7.500000,-21.89165751807334,8.182065802933447,-1.610618781995384
7.600000,-21.9823142587731,8.212181115577044,-1.838562260728341
7.700000,-22.06556640426038,8.222436945368347,-2.0576729799617
7.800000,-22.14233539982861,8.213331602051728,-2.26709221090805
7.900000,-22.21344505763336,8.185757899706072,-2.466401821860777
8.000000,-22.27955638793166,8.140317027567329,-2.655231642163745
8.100000,-22.3412074350979,8.076887783255621,-2.832782695806754
8.200000,-22.39881919149741,7.994951387825612,-2.998015383242866
8.300000,-22.45302358930623,7.894431626781537,-3.150212805778241
8.400000,-22.50474065124911,7.775879850376298,-3.288994814177269
8.500000,-22.55498319750048,7.639859572856933,-3.413920722176343
8.600000,-22.60494401472842,7.486452169195168,-3.52420018385587
8.700000,-22.65612153667326,7.315396145826347,-3.618673644611444
8.800000,-22.71021206347043,7.12670751479311,-3.696352494032183
8.900000,-22.76885696863139,6.921001907411308,-3.756997444825896
9.000000,-22.8335798057248,6.699159925255688,-3.800754271327353
9.100000,-22.90613866025509,6.461920919744477,-3.827436538735999
9.200000,-22.98870611525975,6.209792334665907,-3.836422881521213
9.300000,-23.08349915793605,5.943345231900405,-3.827119158674089
9.400000,-23.19241793010006,5.663734176529016,-3.799575267640717
9.500000,-23.31699546524631,5.372712361136164,-3.754517734321746
9.600000,-23.45855921794196,5.072086345880074,-3.692627871477813
9.700000,-23.6186460788449,4.763619205400417,-3.614084210648036
9.800000,-23.7989901232533,4.449333859228381,-3.518852450588434
9.900000,-24.00071078609443,4.131400812740797,-3.407190688766923
10.000000,-24.22396460546016,3.81199988506071,-3.279939817852938
10.100000,-24.46849020045077,3.493396093195143,-3.138218439486548
10.200000,-24.73415903646031,3.177803578564591,-2.982765310737139
10.300000,-25.02112555993738,2.867349997056982,-2.813946649040775
10.400000,-25.32935905703027,2.564163381849315,-2.632335643620871
10.500000,-25.65803140591433,2.270140431977837,-2.438998215111847
10.600000,-26.00577740444507,1.98676164758122,-2.235317526757295
10.700000,-26.37147868659651,1.715320710654565,-2.022572274946344
10.800000,-26.75458853114931,1.457187073315905,-1.801717472389136
10.900000,-27.15485663691217,1.213627546029507,-1.573618524074164
11.000000,-27.57175978833918,0.9853351427053046,-1.339281324580857
11.100000,-28.00428086689423,0.7723903295175447,-1.099839161154497
11.200000,-28.45153361046312,0.5748128069630341,-0.8564113650783923
11.300000,-28.91337053416605,0.3930088343729528,-0.6098760631817247
11.400000,-29.39007511638153,0.2277526049378178,-0.360986277747022
11.500000,-29.88172227439131,0.07977811129906345,-0.1107567686291415
11.600000,-30.38789794197903,-0.05079693377198723,0.1396490570978871
11.700000,-30.90793421542196,-0.1643661160102293,0.3891592546584115
11.800000,-31.44140309622485,-0.2609338784378218,0.6365970175571278
11.900000,-31.98821100883308,-0.3398250964406641,0.8806621778545372
12.000000,-32.54825528957101,-0.4003231970838291,1.120099911743784
12.100000,-33.12106294727145,-0.4422208985173709,1.353617800305556
12.200000,-33.70574209790807,-0.4658479629972556,1.579966040504707
12.300000,-34.30137372621719,-0.4714574323373537,1.797983073836493
12.400000,-34.90717699726127,-0.4585557125853237,2.006236628226359
12.500000,-35.52211392186664,-0.4262388928124601,2.203079183585969
12.600000,-36.14471772744167,-0.3740493681731934,2.387117399929932
12.700000,-36.77330463597913,-0.3022311552622416,2.557389148677503
12.800000,-37.40601113216945,-0.2113123266047804,2.713264044263911
12.900000,-38.04079862840597,-0.1014308703153542,2.854065519565448
13.000000,-38.6756163533483,0.02783230886946928,2.978890321473473
13.100000,-39.30836481710232,0.1766615386068492,3.08709284098282
13.200000,-39.93688637045415,0.3443533301991542,3.178666896414764
13.300000,-40.55923079646645,0.5296700239292791,3.254047632634023
13.400000,-41.17356228829437,0.7314309038561051,3.313705124552511
13.500000,-41.7778051120568,0.9487120971457722,3.357735639167526
13.600000,-42.36984105713341,1.180603215997076,3.385957893038481
13.700000,-42.94806646303487,1.425732941035891,3.398595238562968
13.800000,-43.51155559014783,1.68222780195782,3.396391155540244
13.900000,-44.05971431806841,1.948198310399535,3.380046310635346
14.000000,-44.59189751696204,2.222166618680854,3.349836821574523
14.100000,-45.10733976357763,2.503016430133932,3.305574520390612
14.200000,-45.60545718490597,2.789582015241774,3.247081337782559
14.300000,-46.08624953713539,3.080506916103339,3.174685979035639
14.400000,-46.55013214282972,3.374507414156648,3.088838191845358
14.500000,-46.99722663807113,3.670413826463629,2.989601294918031
