time,tip_u_z,elbow_u_z
0.010000,-2.15724915198935e-13,1.016572551374539e-05
0.020000,-5.619409286040271e-13,4.546933454628038e-05
0.030000,4.607804849731358e-12,0.0001058739009358779
0.040000,1.217012935077575e-10,0.0001920359673527009
0.050000,1.844937663023299e-09,0.0003118472431435239
0.060000,2.004087982824938e-08,0.0004672396552479413
0.070000,1.615589348065379e-07,0.0006639655971765778
0.080000,9.840986743058883e-07,0.0009108547288052581
0.090000,4.576043679139875e-06,0.00121208781095394
0.100000,1.634048658850383e-05,0.001575636391655504
0.110000,4.503565534389764e-05,0.002010393209960513
0.120000,9.667013038353933e-05,0.002521343699864265
0.130000,0.0001650547501180736,0.003116987710927896
0.140000,0.0002344114681688724,0.003805306795379212
0.150000,0.0002980256631746039,0.004591114591506721
0.160000,0.0003651237394962975,0.005482501736749126
0.170000,0.0004422033275183179,0.006486125798460806
0.180000,0.0005251104352814698,0.007606325993944606
0.190000,0.0006157539652652094,0.008850505713425882
0.200000,0.0007223510258685674,0.01022405616267219
0.210000,0.0008438245320544768,0.01173095326748512
0.220000,0.0009775609744162776,0.01337813327335179
0.230000,0.001128550004868605,0.015170510723347
0.240000,0.001296474726318111,0.01711280718223292
0.250000,0.001476952221310236,0.01921245602559872
0.260000,0.001672636759897102,0.02147422525545064
0.270000,0.001883497102272302,0.02390270753266415
0.280000,0.002104813124757948,0.0265044616571582
0.290000,0.00233842010045778,0.02928366046797998
0.300000,0.002586058785754259,0.03224533997956358
0.310000,0.002847011236451649,0.03539593566717005
0.320000,0.003128347092364854,0.03873931013020639
0.330000,0.003436125556810418,0.0422807325249264
0.340000,0.003766854148815611,0.04602641021147171
0.350000,0.00411445286662331,0.0499799382485332
0.360000,0.00446943963395283,0.05414648128090015
0.370000,0.004825482852219821,0.0585316400528005
0.380000,0.005192717540406747,0.06313888075361314
0.390000,0.005583470384980711,0.06797393397270945
0.400000,0.005997276907352639,0.07304321786549253
0.410000,0.006431205140968668,0.07835183328966071
0.420000,0.006886052731650929,0.08390612908840679
0.430000,0.007364500396813601,0.08970925560484755
0.440000,0.007867736493614431,0.09575933837459823
0.450000,0.008388859601690137,0.1020550850871689
0.460000,0.008922909331918086,0.1085984218406101
0.470000,0.009475113842096705,0.1153989967942204
0.480000,0.0100443014973662,0.1224739878629862
0.490000,0.01062385495272447,0.1298349289381022
0.500000,0.01121831875218706,0.1374819091053211
0.510000,0.01183182270588088,0.1454109213134662
0.520000,0.01245906761025972,0.1536215894227206
0.530000,0.01309849609176659,0.1621205970788536
0.540000,0.01375149316702722,0.1709137469230778
0.550000,0.01441662486274274,0.1799986488982536
0.560000,0.01509725750532017,0.1893758685644453
0.570000,0.01580253112805501,0.1990553210597028
0.580000,0.01653843069124215,0.2090449036935725
0.590000,0.01730044950141362,0.2193465608359799
0.600000,0.01807587672600957,0.2299636189203653
0.610000,0.01885570758983814,0.2409036672717778
0.620000,0.01963833216035126,0.252173335936207
0.630000,0.02042639933951033,0.2637730601739771
0.640000,0.02122530460384586,0.2757038238189123
0.650000,0.02203368849088419,0.2879726932610761
0.660000,0.02284577542351151,0.3005823447048457
0.670000,0.02366809555614232,0.3135304181186613
0.680000,0.02450838484185276,0.3268216004729967
0.690000,0.02536043087949459,0.3404620251183098
0.700000,0.0262204717867867,0.3544517335751719
0.710000,0.02709158075421953,0.368794171040592
0.720000,0.0279717959054093,0.383496946509801
0.730000,0.02885798931432558,0.3985631551455521
0.740000,0.02974548466339359,0.4139945788760289
0.750000,0.03062759866829364,0.4297966189134529
0.760000,0.03150615076590169,0.4459740270088571
0.770000,0.03238342913089868,0.4625283181509883
0.780000,0.03325777340466557,0.4794621505447227
0.790000,0.03413826595033728,0.4967805502379446
0.800000,0.03503131398671351,0.514485496516573
0.810000,0.03592406452524795,0.5325774770225367
0.820000,0.03680513720021334,0.551060754019617
0.830000,0.03767321914729913,0.5699372168449141
0.840000,0.03852671569028719,0.589205254580642
0.850000,0.03936986663915783,0.6088690603475494
0.860000,0.0402100076686714,0.6289344497365256
0.870000,0.04104409830212999,0.6494041639361268
0.880000,0.0418662482516977,0.6702853198293711
0.890000,0.04267797390667023,0.6915830852776552
0.900000,0.04348284448105871,0.7132923049177678
0.910000,0.04427842611845546,0.7354084164044832
0.920000,0.04505579505044194,0.757931683222133
0.930000,0.04581031662592529,0.7808646231328868
0.940000,0.04654599402532011,0.8042183864560076
0.950000,0.04726386637809658,0.8280056662051937
0.960000,0.04796116682732664,0.8522269687501223
0.970000,0.04863974366514601,0.8768776477125411
0.980000,0.04930159669661691,0.9019563692934818
0.990000,0.04994468382711793,0.9274633336210025
1.000000,0.05056490495392096,0.9534012665063014
1.010000,0.05115702890183329,0.9797515392556391
1.020000,0.05172301401100341,1.006480455788336
1.030000,0.05227391760651957,1.033587902042158
1.040000,0.05281423411344212,1.061080891987049
1.050000,0.05333846526170076,1.088949711998963
1.060000,0.05384184869546948,1.117189951984412
1.070000,0.05431791211033459,1.145790721376275
1.080000,0.05475675289799233,1.174738747984024
1.090000,0.05515620104281541,1.204030032690249
1.100000,0.05551572561773538,1.233649814536844
1.110000,0.05581817060498045,1.263578099727056
1.120000,0.05604626715426151,1.293804720869478
1.130000,0.05621743845664819,1.324317199695789
1.140000,0.05637102236207044,1.355100704249855
1.150000,0.05651997288556847,1.386141608571704
1.160000,0.05664380622459702,1.417425268217546
