time,tip_u_z,elbow_u_z
0.250000,0.0019496729138112,0.02645402473318562
0.500000,0.01066944688181712,0.1485315915070787
0.750000,0.02759373511621472,0.4431161826380584
1.000000,0.04691544049296452,0.9671434778028141
1.250000,0.05718542740349791,1.706909187814579
1.500000,0.0504730709450714,2.552354070085499
1.750000,0.04609665057396567,3.376363509904091
2.000000,0.09397745424663521,4.09198144488123
2.250000,0.2482394557361085,4.65722609090514
2.500000,0.5410435481568896,5.071168849297781
2.750000,0.9685805631747023,5.343513205262635
3.000000,1.491822301832484,5.476686811370295
3.250000,2.05115708662766,5.470385482958451
3.500000,2.592049305718612,5.326212412554677
3.750000,3.083465046366753,5.05456983553117
4.000000,3.527262377815493,4.680143302006339
4.250000,3.954483698261831,4.248443262724044
4.500000,4.40338062983523,3.816681394479882
4.750000,4.890664700988214,3.431036376612707
5.000000,5.394310384769205,3.11794539744524
5.250000,5.868559710625891,2.885372815654485
5.500000,6.279052076954222,2.726115380673936
5.750000,6.622275429684293,2.623830502655902
6.000000,6.913070722058349,2.560394068927808
6.250000,7.170761307261809,2.519020009664963
6.500000,7.417586073405761,2.483935540435071
6.750000,7.668728146495351,2.443317755395704
7.000000,7.911605461580002,2.390744478761797
7.250000,8.101635336130149,2.317076699089594
7.500000,8.189424373622099,2.197920190974378
7.750000,8.150827818937664,1.993972361565825
8.000000,8.000136936238935,1.666973845375832
8.250000,7.770996367651324,1.203088664074573
8.500000,7.484353437043222,0.6270289524654075
8.750000,7.139533165883065,-0.009196359583741726
9.000000,6.72725184308992,-0.6563185109941306
9.250000,6.247813181752743,-1.286354028640447
9.500000,5.713389858368554,-1.889124115200306
9.750000,5.130996465744111,-2.455926537501721
10.000000,4.496117864149761,-2.967659220708787
10.250000,3.80678808984498,-3.398057920848232
10.500000,3.064047237156665,-3.723010049244012
10.750000,2.258546764021775,-3.919714013911964
11.000000,1.362937485645799,-3.961300570212187
11.250000,0.3528456136405242,-3.822576714877021
11.500000,-0.7676696115933929,-3.491084279534789
11.750000,-1.965413901848309,-2.978564198575307
12.000000,-3.192166213280354,-2.32913098730948
12.250000,-4.385926128923151,-1.618276367498533
12.500000,-5.474052172261606,-0.9318925473416365
12.750000,-6.380994332068036,-0.3391960989908021
13.000000,-7.057182780337302,0.1289630437827166
13.250000,-7.509678577603595,0.4749948226755111
13.500000,-7.806054556194352,0.7158096570389055
13.750000,-8.027211562902817,0.8625098937828696
14.000000,-8.224309012819605,0.9166741462428921
14.250000,-8.417049115333352,0.8800861125956112
14.500000,-8.617658095192896,0.7618103607677053
14.750000,-8.836685327611207,0.5743335480163406
15.000000,-9.06806100588075,0.3285099277655147
15.250000,-9.289517516750752,0.04099943031419181
15.500000,-9.476927761556128,-0.2608811441243743
15.750000,-9.605967838665439,-0.5496120792614813
16.000000,-9.64047320421073,-0.8127323869342141
16.250000,-9.548174333206301,-1.054184220442691
16.500000,-9.325267545657633,-1.2817469000844
16.750000,-8.995650380617821,-1.495163954349982
17.000000,-8.579223891305897,-1.686022298684329
17.250000,-8.088488364313134,-1.837126665871332
17.500000,-7.532038274333606,-1.934033604631277
17.750000,-6.929339860058304,-1.970378742279381
18.000000,-6.292355607315548,-1.954839777746572
18.250000,-5.62677672529913,-1.902437739217567
18.500000,-4.939168629407362,-1.832462697138672
18.750000,-4.242721122906031,-1.77650348189726
19.000000,-3.541327597973989,-1.775850566861445
19.250000,-2.813483023690138,-1.869297924010913
19.500000,-2.020122892907597,-2.066284163425099
19.750000,-1.124501097948261,-2.327294928129056
20.000000,-0.1014060113462585,-2.592761605234561
20.250000,1.020034141654587,-2.818305161190295
20.500000,2.162950904724059,-2.987122368594049
20.750000,3.207257152956785,-3.091552771553413
21.000000,4.082971524437426,-3.128358552929788
21.250000,4.774047286472071,-3.085601704264977
21.500000,5.310739446452125,-2.940030673025415
21.750000,5.728278527147108,-2.666266687872166
22.000000,6.059385082541047,-2.243244877913922
22.250000,6.324730716727291,-1.675226183030048
22.500000,6.516613335141687,-0.971449467447595
22.750000,6.631018853569174,-0.1684713042893401
23.000000,6.644930651038909,0.6940925907124155
23.250000,6.575146923025911,1.562255069730129
23.500000,6.421643280389455,2.40394977261431
23.750000,6.245616010658082,3.191824955939609
24.000000,6.084182650400861,3.91772346808698
24.250000,6.011871132079277,4.570323521346375
24.500000,6.059742133412139,5.139320067175418
24.750000,6.226812877920041,5.602913571215841
25.000000,6.461905945918895,5.941411742009072
25.250000,6.680270072622,6.141830917578461
25.500000,6.844265101979785,6.185221108461233
25.750000,6.923497562379326,6.084637761023179
26.000000,6.962863417888869,5.860539116727643
26.250000,6.937867918870964,5.574877311288771
26.500000,6.883373082201115,5.271334214081348
26.750000,6.741629674430544,4.978740431136278
27.000000,6.482513054832363,4.693070838240637
27.250000,6.061416644808668,4.398264395809163
27.500000,5.442678373232635,4.076186875001928
27.750000,4.696849832747211,3.719314966995921
28.000000,3.87185007862192,3.343345404932049
28.250000,3.116049921570759,2.96975214035223
28.500000,2.508827991549148,2.613222672747803
28.750000,2.091574863394018,2.259974946851535
29.000000,1.820973632261297,1.886550765953196
29.250000,1.592855330591592,1.477290023654807
29.500000,1.345669482107682,1.015587683310564
29.750000,1.023948471126222,0.5034750656526665
30.000000,0.6338711530492503,-0.06449671210758826
