CL1,CD1,CM1
0.51056,3.5952,0.07072
0.42217,3.5589,0.10103
0.33247,3.5091,0.12985
0.22802,3.4797,0.15158
0.13146,3.4174,0.17657
-0.00318,3.2324,0.17355
-0.14925,3.0846,0.16437
-0.2567,2.7609,0.1516
-0.39963,2.3712,0.06813
-0.65881,1.9672,-0.14133
-0.55743,2.0005,-0.04005
-0.0822,1.9192,0.3035
0.43604,1.8804,0.66135
0.80627,1.9206,1.012
1.1395,1.9609,1.3498
1.4916,2.0186,1.6394
1.5739,2.065,1.7484
1.5463,2.1241,1.7981
1.433,2.1128,1.778
1.5506,2.147,1.7537
2.2269,1.8297,1.5452
2.1047,1.6846,1.3692
2.0315,1.6901,1.2581
1.475,2.0715,1.3875
1.0661,2.6179,1.6913
0.66038,2.9236,1.7273
0.3182,3.0065,1.6829
0.13885,3.1224,1.6892
-0.15107,3.1721,1.6226
-0.42235,3.1488,1.5674
-0.78676,2.9874,1.5097
-0.97937,2.7968,1.3789
-0.85081,2.3509,1.0586
-0.50508,2.3811,0.75911
-0.16004,2.4083,0.45969
0.16007,2.4279,0.16446
0.38919,2.3942,-0.1327
-0.1601,2.4278,-0.1645
0.16,2.4083,-0.4597
0.5051,2.3811,-0.7591
0.8508,2.3509,-1.0586
0.9794,2.7968,-1.3789
0.7868,2.9874,-1.5097
0.4224,3.1488,-1.5674
0.1511,3.1721,-1.6226
-0.1388,3.1224,-1.6892
-0.3182,3.0065,-1.6829
-0.6604,2.9236,-1.7273
-1.0661,2.6179,-1.6913
-1.475,2.0715,-1.3875
-2.0315,1.6901,-1.2581
-2.1047,1.6846,-1.3692
-2.2269,1.8297,-1.5452
-1.5506,2.147,-1.7537
-1.433,2.1128,-1.778
-1.5463,2.1241,-1.7981
-1.5739,2.065,-1.7484
-1.4915,2.0186,-1.6394
-1.1395,1.9609,-1.3498
-0.8063,1.9206,-1.0119
-0.436,1.8804,-0.6614
0.0822,1.9192,-0.3035
0.5574,2.0005,0.04
0.6588,1.9672,0.1413
0.3996,2.3712,-0.0681
0.2567,2.7609,-0.1516
0.1492,3.0846,-0.1644
0.0032,3.2324,-0.1736
-0.1315,3.4174,-0.1766
-0.228,3.4797,-0.1516
-0.3325,3.5091,-0.1298
-0.4222,3.5589,-0.101
-0.5106,3.5952,-0.0707
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
