CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.36667,0.67839,0.18756,0.09153,0.66001,0.01987,-0.172,0.574,-0.156,-0.29026,0.73674,-0.26687
0.40693,0.77808,0.28041,0.27929,0.72394,0.19146,0.105,0.681,0.0259,-0.0452,0.69057,-0.10457
0.49599,0.82087,0.38335,0.50357,0.73627,0.36043,0.274,0.729,0.172,0.3166,0.67538,0.11118
0.62533,0.85675,0.47594,0.73216,0.75795,0.5347,0.566,0.73,0.363,0.47581,0.76798,0.25458
0.74868,0.93854,0.54147,0.60199,0.89513,0.5134,0.78,0.794,0.531,0.55704,0.83277,0.36662
0.79542,1.0378,0.59721,0.68166,1.0069,0.58023,0.776,0.881,0.592,0.67781,0.89382,0.47579
0.7917,1.16329,0.63179,0.63827,1.128,0.59412,0.908,0.962,0.683,0.86355,0.9406,0.59607
0.78741,1.36277,0.67758,0.62408,1.2429,0.63549,1.59,0.619,1.01,1.5053,0.71398,0.93966
0.73769,1.45638,0.68006,0.6122,1.3713,0.66999,1.27,0.475,0.813,1.3032,0.57936,0.83471
0.66839,1.58966,0.67758,0.58677,1.4983,0.68442,1.28,0.517,0.738,1.1355,0.56704,0.67855
0.58095,1.6364,0.64976,0.52282,1.5965,0.68504,1.37,0.935,0.819,1.3839,0.86567,0.80628
0.49984,1.76655,0.65003,0.45097,1.6821,0.68148,1.03,1.51,0.812,1.0415,1.4997,0.79575
0.39115,1.84105,0.6306,0.35396,1.7376,0.66432,0.712,1.83,0.784,0.60274,1.8265,0.73467
0.2999,1.93984,0.61889,0.25169,1.8057,0.64951,0.554,1.85,0.725,0.4205,1.8644,0.69116
0.19732,1.98814,0.59222,0.16123,1.8729,0.62588,0.464,1.88,0.689,0.3259,1.9359,0.67651
0.0991,2.03263,0.56256,0.06467,1.9001,0.58833,0.344,1.93,0.667,0.2396,2.0034,0.65367
0.02802,2.16225,0.55202,-0.0099,2.021,0.57715,0.208,2.02,0.645,0.08872,2.0994,0.66226
-0.04257,2.17214,0.50807,-0.08029,2.0336,0.53308,0.115,2.11,0.611,-0.13678,1.7113,0.5164
-0.0974,2.19664,0.46774,-0.16462,2.1234,0.51243,0.0264,2.13,0.56,-0.10988,1.4055,0.36837
-0.15461,2.04642,0.37316,-0.2133,2.1275,0.46453,-0.0772,2.12,0.507,-0.10186,1.7594,0.40706
-0.17913,2.00926,0.3221,-0.2497,2.0913,0.40726,-0.141,2.08,0.437,-0.19234,2.193,0.49276
-0.19078,2.06184,0.294,-0.26395,2.007,0.3364,-0.189,2.03,0.375,-0.27277,2.1713,0.43622
-0.20041,1.97678,0.23455,-0.29113,2.0319,0.29379,-0.274,2.06,0.332,-0.34972,2.1912,0.39716
-0.2252,1.86515,0.18571,-0.29861,1.9733,0.25203,-0.287,1.95,0.269,-0.38125,2.1452,0.34338
-0.242,1.68438,0.12517,-0.28322,1.8207,0.19398,-0.31,1.83,0.211,-0.41425,2.0185,0.27696
-0.13444,1.26655,0.01266,-0.24158,1.7569,0.15317,-0.299,1.75,0.166,-0.44199,1.763,0.19011
-0.04721,0.88353,-0.03845,-0.20117,1.6415,0.11427,-0.284,1.68,0.131,-0.31686,1.3738,0.0841
0.1934,0.8912,-0.08096,-0.14435,1.4772,0.07023,-0.282,1.61,0.1,-0.09251,1.1573,0.01509
0.25984,1.08002,-0.08821,-0.04618,1.31,0.0277,-0.221,1.43,0.0538,0.02259,1.3108,-0.01416
0.26805,1.07214,-0.06408,0.09221,1.1278,-0.02189,-0.161,1.28,0.0186,-0.10107,1.4603,0.03033
0.44686,0.86678,-0.10045,0.21967,0.9845,-0.0565,-0.0175,1.14,-0.0131,-0.11649,1.4306,0.03674
0.5182,0.77594,-0.09676,0.322,0.86957,-0.08417,0.115,1.01,-0.0494,0.05541,1.2275,-0.03023
0.45934,0.79063,-0.07156,0.34476,0.82556,-0.09017,0.398,0.856,-0.119,0.27093,1.0411,-0.09111
0.3329,0.83744,-0.03554,0.28909,0.80102,-0.07335,0.475,0.752,-0.111,0.38075,0.89964,-0.11596
0.20486,0.69629,-0.02837,0.18164,0.78966,-0.04125,0.407,0.758,-0.0798,0.44218,0.8566,-0.08299
0.05346,0.52829,-0.00652,0.12007,0.75536,-0.02271,0.325,0.743,-0.0472,0.41114,0.85366,-0.05403
0.01915,0.60373,0.0207,0.0519,0.75733,-0.00209,0.152,0.695,-0.0258,0.34552,0.85448,-0.04238
-0.0535,0.5283,0.0065,-0.4111,0.8537,0.054,-0.3251,0.7434,0.0472,-0.1201,0.7554,0.0227
-0.2049,0.6963,0.0284,-0.4422,0.8566,0.083,-0.4066,0.7575,0.0798,-0.1816,0.7897,0.0413
-0.3329,0.8374,0.0355,-0.3808,0.8996,0.116,-0.4746,0.7521,0.1114,-0.2891,0.801,0.0734
-0.4593,0.7906,0.0716,-0.2709,1.0411,0.0911,-0.3985,0.8556,0.1188,-0.3448,0.8256,0.0902
-0.5182,0.7759,0.0968,-0.0554,1.2275,0.0302,-0.1148,1.0099,0.0494,-0.322,0.8696,0.0842
-0.4469,0.8668,0.1004,0.1165,1.4306,-0.0367,0.0175,1.1418,0.0131,-0.2197,0.9845,0.0565
-0.2681,1.0721,0.0641,0.1011,1.4603,-0.0303,0.1609,1.2781,-0.0186,-0.0922,1.1278,0.0219
-0.2598,1.08,0.0882,-0.0226,1.3108,0.0142,0.2212,1.4264,-0.0538,0.0462,1.31,-0.0277
-0.1934,0.8912,0.081,0.0925,1.1573,-0.0151,0.2816,1.612,-0.1004,0.1444,1.4772,-0.0702
0.0472,0.8835,0.0384,0.3169,1.3738,-0.0841,0.2835,1.6807,-0.1307,0.2012,1.6415,-0.1143
0.1344,1.2666,-0.0127,0.442,1.763,-0.1901,0.2989,1.7469,-0.1661,0.2416,1.7569,-0.1532
0.242,1.6844,-0.1252,0.4143,2.0185,-0.277,0.3102,1.8298,-0.2114,0.2832,1.8207,-0.194
0.2252,1.8652,-0.1857,0.3812,2.1452,-0.3434,0.2866,1.9469,-0.2688,0.2986,1.9733,-0.252
0.2004,1.9768,-0.2346,0.3497,2.1912,-0.3972,0.2745,2.0566,-0.3325,0.2911,2.0319,-0.2938
0.1908,2.0618,-0.294,0.2728,2.1713,-0.4362,0.1894,2.0326,-0.3745,0.264,2.007,-0.3364
0.1791,2.0093,-0.3221,0.1923,2.193,-0.4928,0.1415,2.0789,-0.4373,0.2497,2.0913,-0.4073
0.1546,2.0464,-0.3732,0.1019,1.7594,-0.4071,0.0772,2.1248,-0.5067,0.2133,2.1275,-0.4645
0.0974,2.1966,-0.4677,0.1099,1.4055,-0.3684,-0.0264,2.1252,-0.5605,0.1646,2.1234,-0.5124
0.0426,2.1721,-0.5081,0.1368,1.7113,-0.5164,-0.1148,2.1103,-0.6112,0.0803,2.0336,-0.5331
-0.028,2.1622,-0.552,-0.0887,2.0994,-0.6623,-0.2078,2.0176,-0.6451,0.0099,2.021,-0.5771
-0.0991,2.0326,-0.5626,-0.2396,2.0034,-0.6537,-0.3437,1.9305,-0.6667,-0.0647,1.9001,-0.5883
-0.1973,1.9881,-0.5922,-0.3259,1.9359,-0.6765,-0.4636,1.8763,-0.6893,-0.1612,1.8729,-0.6259
-0.2999,1.9398,-0.6189,-0.4205,1.8644,-0.6912,-0.5538,1.8475,-0.7247,-0.2517,1.8057,-0.6495
-0.3911,1.8411,-0.6306,-0.6027,1.8265,-0.7347,-0.7118,1.8288,-0.7844,-0.354,1.7376,-0.6643
-0.4998,1.7666,-0.65,-1.0415,1.4997,-0.7957,-1.0267,1.5116,-0.8121,-0.451,1.6821,-0.6815
-0.5809,1.6364,-0.6498,-1.3839,0.8657,-0.8063,-1.3654,0.9353,-0.8186,-0.5228,1.5965,-0.685
