CL1,CD1,CM1
0.129070,0.643110,0.061280
1.041900,0.512710,0.961160
2.009100,0.370670,1.974100
1.879200,0.663570,1.947800
1.462700,1.061600,1.580300
1.542500,1.265300,1.704300
1.656600,1.532100,1.895100
1.668700,1.833800,2.034400
1.627800,2.075800,2.122000
1.522500,2.262500,2.139100
1.397800,2.456300,2.152300
1.223800,2.576500,2.112100
1.050900,2.696400,2.085500
0.873210,2.782200,2.026300
0.683970,2.796600,1.923000
0.508510,2.926800,1.884100
0.324720,2.982300,1.799900
0.145800,2.988000,1.693400
-0.044800,2.902800,1.541900
-0.215400,2.815900,1.400800
-0.374390,2.869300,1.335900
-0.512270,2.767300,1.197800
-0.644160,2.617000,1.047500
-0.747570,2.558600,0.948780
-0.796670,2.413900,0.811620
-0.826020,2.288200,0.699590
-0.829620,2.157700,0.601220
-0.794480,2.027500,0.506770
-0.665620,1.806000,0.381940
-0.510320,1.591600,0.272800
-0.325300,1.381600,0.165460
-0.122390,1.182600,0.077140
0.364580,0.918630,-0.192930
0.655320,0.762570,-0.266730
0.568370,0.687800,-0.180160
0.295250,0.573750,-0.105620
-0.101290,0.691160,0.004180
-0.295250,0.573750,0.105620
-0.568370,0.687800,0.180160
-0.655320,0.762570,0.266730
-0.364580,0.918630,0.192930
0.122390,1.182600,-0.077140
0.325300,1.381600,-0.165460
0.510320,1.591600,-0.272800
0.665620,1.806000,-0.381940
0.794480,2.027500,-0.506770
0.829620,2.157700,-0.601220
0.826020,2.288200,-0.699590
0.796670,2.413900,-0.811620
0.747570,2.558600,-0.948780
0.644160,2.617000,-1.047500
0.512270,2.767300,-1.197800
0.374390,2.869300,-1.335900
0.215400,2.815900,-1.400800
0.044800,2.902800,-1.541900
-0.145800,2.988000,-1.693400
-0.324720,2.982300,-1.799900
-0.508510,2.926800,-1.884100
-0.683970,2.796600,-1.923000
-0.873210,2.782200,-2.026300
-1.050900,2.696400,-2.085500
-1.223800,2.576500,-2.112100
-1.397800,2.456300,-2.152300
-1.522500,2.262500,-2.139100
-1.627800,2.075800,-2.122000
-1.668700,1.833800,-2.034400
-1.656600,1.532100,-1.895100
-1.542500,1.265300,-1.704300
-1.462700,1.061600,-1.580300
-1.879200,0.663570,-1.947800
-2.009100,0.370670,-1.974100
-1.041900,0.512710,-0.961160
-0.129100,0.643100,-0.061300
