CL1,CD1,CM1
0.44193,3.1309,0.03641
0.31359,3.2103,0.03309
0.28956,3.0292,0.08156
0.17367,2.9232,0.08756
0.05175,2.8292,0.0938
-0.06792,2.6694,0.09111
-0.20214,2.5037,0.07858
-0.3411,2.0796,0.03146
-0.64153,1.7942,-0.14915
-0.33465,1.7227,-0.00695
0.20986,1.6625,0.25942
0.73766,1.5425,0.50697
0.93373,1.522,0.72044
1.0414,1.602,0.91259
0.96812,1.7507,1.0718
1.0002,1.7256,1.1273
1.036,1.7707,1.1848
1.1016,1.7988,1.203
1.139,1.7719,1.1607
1.4861,1.4374,0.96503
1.4638,1.4492,0.92374
1.3719,1.4124,0.81805
1.3044,1.4144,0.72133
0.79022,1.8056,0.82257
0.37967,2.2219,0.96364
0.06263,2.4395,1.0223
-0.15471,2.5587,1.0287
-0.35148,2.6127,1.0089
-0.54475,2.618,0.98404
-0.76967,2.588,0.97467
-1.0251,2.5,0.96165
-1.0661,2.4096,0.85743
-0.81802,2.3285,0.67234
-0.48258,2.2456,0.47204
-0.13842,2.1577,0.26845
0.17909,1.9227,0.05051
0.48931,1.7946,-0.19589
-0.1791,1.9226,-0.0505
0.1384,2.1577,-0.2685
0.4826,2.2456,-0.472
0.818,2.3285,-0.6723
1.0661,2.4096,-0.8574
1.0251,2.5,-0.9617
0.7697,2.588,-0.9747
0.5447,2.618,-0.984
0.3515,2.6127,-1.0089
0.1547,2.5587,-1.0287
-0.0626,2.4395,-1.0223
-0.3797,2.2219,-0.9636
-0.7902,1.8056,-0.8226
-1.3044,1.4144,-0.7213
-1.3719,1.4124,-0.8181
-1.4638,1.4492,-0.9237
-1.4861,1.4374,-0.965
-1.139,1.7719,-1.1607
-1.1016,1.7988,-1.203
-1.036,1.7707,-1.1848
-1.0002,1.7256,-1.1273
-0.9681,1.7507,-1.0718
-1.0414,1.602,-0.9126
-0.9337,1.522,-0.7204
-0.7377,1.5425,-0.507
-0.2099,1.6625,-0.2594
0.3346,1.7227,0.007
0.6415,1.7942,0.1491
0.3411,2.0796,-0.0315
0.2021,2.5037,-0.0786
0.0679,2.6694,-0.0911
-0.0517,2.8291,-0.0938
-0.1737,2.9232,-0.0876
-0.2896,3.0292,-0.0816
-0.3136,3.2103,-0.0331
-0.4419,3.1309,-0.0364
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
