CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
-1.5361,1.5913,-0.8498,-1.13,2.1299,-1.38,-1.57,1.7548,-0.94,-1.5407,1.6731,-0.9308
-1.6133,1.579,-0.9381,-2.23,1.5046,-1.24,-1.19,2.011,-1.15,-1.2469,1.9604,-1.1182
-1.5666,1.6265,-1.0369,-2.28,1.0798,-1.07,-1.02,2.1391,-1.29,-0.9928,2.0746,-1.2239
-1.4103,1.8254,-1.1804,-1.93,0.9645,-0.949,-1.07,2.1871,-1.36,-0.9648,2.062,-1.25
-1.0815,2.0033,-1.274,-2.12,1.1696,-1.13,-0.976,2.1031,-1.32,-0.983,2.0442,-1.2462
-1.1049,1.998,-1.2893,-1.36,1.7115,-1.19,-0.926,2.0821,-1.29,-0.948,1.9512,-1.1752
-1.1322,1.9515,-1.2576,-0.641,1.9067,-0.975,-0.825,1.9855,-1.17,-0.9169,2.0029,-1.1467
-1.0758,1.9612,-1.2281,-0.41,1.8128,-0.732,-0.717,1.9643,-1.04,-0.7656,1.9822,-1.0176
-1.0046,1.8621,-1.0986,-0.127,1.7422,-0.467,-0.532,2.011,-0.899,-0.5478,1.9251,-0.8256
-0.9752,1.7797,-0.9442,0.155,1.7913,-0.244,-0.486,1.9528,-0.751,-0.3089,1.8269,-0.595
-0.9032,1.6792,-0.7531,0.231,1.7827,-0.0406,-0.612,1.5824,-0.525,0.0016,1.8159,-0.3645
-0.5764,1.6083,-0.5016,0.351,1.3593,0.19,-0.34,1.2458,-0.248,0.3874,1.8195,-0.1255
-0.1232,1.6368,-0.2401,0.637,1.264,0.317,0.223,1.1897,-0.0165,0.7184,1.7459,0.1319
0.456,1.7615,0.0504,0.925,1.5362,0.38,0.792,1.5082,0.214,0.5452,1.8423,0.0663
0.7495,1.7557,0.2333,0.835,2.0952,0.293,1.01,2.0635,0.212,0.3278,2.2838,-0.0508
0.2831,1.9254,-0.0068,0.447,2.5411,0.134,0.634,2.4556,0.0008,0.2114,2.5265,-0.0657
0.1202,2.1583,-0.0666,0.0696,2.8982,0.0259,0.199,2.7499,-0.173,0.1025,2.6643,-0.0672
-0.0114,2.3084,-0.0766,-0.16,2.82,-0.0144,-0.0127,2.8679,-0.211,0.0071,2.9372,-0.0599
-0.0867,2.4762,-0.0711,-0.234,2.8449,0.018,-0.157,2.9093,-0.209,-0.0712,2.9743,-0.0381
-0.1379,2.6247,-0.0524,-0.296,2.8057,0.0526,-0.305,2.6841,-0.204,-0.1455,3.0945,-0.0165
-0.2057,2.7706,-0.0308,-0.388,2.8918,0.0848,-0.438,2.2118,-0.19,-0.2362,3.1758,0.0154
-0.278,2.871,-0.0048,-0.447,2.809,0.113,-0.339,1.8391,-0.129,-0.2996,3.3022,0.0488
