CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.65424,0.48916,0.56906,0.78414,0.43524,0.64521,-0.84337,0.6021,-1.0311,-0.4369,0.55383,-0.48168
1.6108,0.37551,1.6037,1.5548,0.3754,1.4542,-0.31998,0.60905,-0.42695,0.36226,0.52656,0.36916
2.2969,0.32837,2.4077,2.1604,0.35426,2.1521,0.32967,0.54872,0.28013,1.2166,0.42771,1.2997
1.5491,0.85707,1.7518,2.5553,0.40537,2.5959,1.2027,0.49914,1.2282,1.9736,0.40491,2.174
1.2769,1.1541,1.5409,2.5278,0.6179,2.582,1.8487,0.47705,2.0184,1.5357,0.82297,1.7681
1.3359,1.3807,1.7078,1.4584,1.2574,1.7146,2.5438,0.46792,2.7424,1.475,1.1196,1.7455
1.368,1.5957,1.8783,1.5028,1.5351,1.8501,1.9226,1.0141,2.1575,1.6787,1.3969,2.0184
1.4071,1.8516,2.0141,1.4089,1.8168,1.8897,2.5675,0.64367,2.8525,2.0118,1.1811,2.3429
1.3887,2.077,2.1154,1.3969,2.1015,1.9942,1.8734,0.59878,2.0705,1.5113,0.93994,1.8228
1.306,2.2937,2.172,1.3338,2.3347,2.054,1.5122,0.74104,1.6113,1.3497,0.98548,1.5567
1.1888,2.5053,2.2066,1.2105,2.5858,2.1069,1.6801,1.2433,1.9101,1.4249,1.5468,1.8317
1.0539,2.6856,2.2228,1.0619,2.7129,2.0636,1.5668,1.8605,2.0942,1.2904,2.1351,2.0162
0.87576,2.8635,2.2556,0.83127,2.764,1.9918,1.3988,2.4749,2.2756,1.0912,2.5641,2.1134
0.67119,2.9311,2.1837,0.69421,2.9942,2.0264,1.1394,2.9439,2.3722,0.90803,2.8939,2.1815
0.4789,3.012,2.1498,0.48793,3.1223,2.004,0.88985,3.0668,2.3318,0.70574,3.0966,2.2005
0.26795,3.0931,2.0691,0.28948,3.1841,1.9351,0.65802,3.0942,2.2232,0.40126,3.0468,2.0672
