CL1,CD1,CM1
0.17615,0.7847,0.05389
0.56513,0.67961,0.3735
0.88076,0.7709,0.64419
1.0002,0.8749,0.79504
1.0636,0.99731,0.89565
1.1592,1.1557,1.0233
1.2302,1.3124,1.1287
1.3014,1.5555,1.2472
1.2902,1.7367,1.2961
1.2452,1.9425,1.3337
1.1532,2.1219,1.3481
1.0204,2.1969,1.3066
0.88466,2.3196,1.292
0.73199,2.3837,1.2493
0.61837,2.5122,1.2357
0.48521,2.5721,1.1854
0.36716,2.7413,1.1809
0.23268,2.839,1.1476
0.08809,2.7269,1.0192
-0.02717,2.6859,0.92913
-0.12845,2.5764,0.80565
-0.19621,2.3022,0.6313
-0.26415,2.321,0.57305
-0.29956,2.1816,0.46835
-0.33282,2.1081,0.39365
-0.35179,2.0098,0.32492
-0.34569,1.9598,0.2776
-0.29827,1.8299,0.21475
-0.22084,1.6897,0.156
-0.12992,1.5293,0.10669
-0.02621,1.3624,0.06688
0.09793,1.2354,0.0213
0.43849,0.95969,-0.1552
0.6079,0.83875,-0.18392
0.54729,0.81141,-0.1101
0.25524,0.73778,-0.03418
0.04329,0.8471,-0.00551
-0.2552,0.7378,0.0342
-0.5473,0.8114,0.1101
-0.6079,0.8388,0.1839
-0.4385,0.9597,0.1552
-0.0979,1.2354,-0.0213
0.0262,1.3624,-0.0669
0.1299,1.5293,-0.1067
0.2208,1.6897,-0.156
0.2983,1.8299,-0.2147
0.3457,1.9598,-0.2776
0.3518,2.0098,-0.3249
0.3328,2.1081,-0.3936
0.2996,2.1816,-0.4684
0.2642,2.321,-0.573
0.1962,2.3022,-0.6313
0.1284,2.5764,-0.8056
0.0272,2.6859,-0.9291
-0.0881,2.7269,-1.0192
-0.2327,2.839,-1.1476
-0.3672,2.7413,-1.1809
-0.4852,2.5721,-1.1854
-0.6184,2.5122,-1.2357
-0.732,2.3837,-1.2493
-0.8847,2.3196,-1.292
-1.0204,2.1969,-1.3066
-1.1531,2.1219,-1.3481
-1.2451,1.9425,-1.3337
-1.2902,1.7367,-1.2961
-1.3014,1.5555,-1.2472
-1.2302,1.3124,-1.1287
-1.1592,1.1557,-1.0233
-1.0636,0.9973,-0.8957
-1.0002,0.8749,-0.795
-0.8808,0.7709,-0.6442
-0.5651,0.6796,-0.3735
-0.1761,0.7847,-0.0539
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
