CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.48093,3.4263,-0.05904,0.37407,3.1644,-0.11221,0.38697,2.1726,0.13929,0.7561,3.5811,-0.08942
0.39946,3.3516,-0.02108,0.31021,3.1742,-0.0819,0.54355,2.4876,0.24155,0.66057,3.5161,-0.05592
0.30627,3.276,0.01415,0.25547,3.1058,-0.04345,0.42293,3.0047,0.25691,0.56991,3.4835,-0.02275
0.21918,3.221,0.05386,0.20772,2.9841,-0.00522,0.22085,3.333,0.2524,0.47415,3.6163,-0.0064
0.10873,3.0694,0.07005,0.16734,2.8186,0.0261,-0.03931,3.3685,0.20744,0.19798,3.6238,-0.0684
0.03051,2.989,0.0918,0.07421,2.847,0.03911,-0.41618,3.2468,0.07334,-0.21392,3.2738,-0.19636
-0.08566,2.8143,0.09507,-0.0093,2.7537,0.05079,-0.85684,2.808,-0.15624,-0.55935,2.7305,-0.34516
-0.24594,2.7506,0.0887,-0.11483,2.7137,0.06348,-1.129,2.2687,-0.4082,-0.78726,2.2483,-0.49098
-0.37398,2.4532,0.06179,-0.1995,2.4708,0.05414,-0.90656,1.7577,-0.37721,-0.79109,1.7833,-0.56141
-0.58501,2.0241,-0.09417,-0.30648,2.0597,-0.0177,-0.51308,1.4552,-0.25539,-0.56757,1.5955,-0.59623
-0.84077,1.9255,-0.30606,-0.85036,1.7536,-0.42543,0.14923,1.4171,-0.00156,-0.22168,1.6552,-0.49589
-0.05258,1.8542,0.19732,-0.35599,1.8519,0.01517,0.56816,1.634,0.37169,-0.05224,2.0592,-0.162
0.62723,1.8111,0.68235,0.153,1.8139,0.42484,0.39777,2.0473,0.72815,-0.15765,2.3253,0.20718
1.1053,1.8349,1.091,0.65187,1.8768,0.86583,0.43304,2.1779,1.0164,0.06168,2.276,0.51723
1.431,1.9097,1.492,1.1322,1.9571,1.2918,0.73244,2.1512,1.2985,0.50929,2.3608,0.98621
1.5111,1.9041,1.6749,1.4861,1.9979,1.6371,1.0024,2.094,1.5333,0.92491,2.3894,1.428
1.5366,2.1036,1.8892,1.2428,2.177,1.824,1.1178,2.0793,1.6982,2.2867,2.01,1.8537
1.7377,2.1817,2.0181,1.4071,2.3138,2.0093,1.1599,2.1432,1.8209,3.1011,1.2374,1.6294
1.8058,2.1027,1.9685,1.409,2.3505,2.0479,1.1749,2.1884,1.8943,2.6443,0.96672,1.3533
2.2142,1.8578,1.817,1.4132,2.4279,2.0779,1.2607,2.2014,1.882,2.9252,1.0714,1.5211
2.3867,1.7443,1.6844,1.4077,2.52,2.0839,1.2136,2.1936,1.8169,3.3423,1.2894,1.7379
2.1713,1.809,1.6095,1.7579,1.8149,1.6297,1.4894,1.9059,1.5414,2.986,1.6742,1.8946
1.9623,1.8821,1.505,2.0126,1.862,1.5016,1.8796,1.5893,1.2472,2.5708,1.781,1.7988
1.6721,1.9429,1.4125,1.7426,1.9126,1.3653,1.5402,1.6074,1.1057,2.1263,1.8563,1.6985
0.88126,1.91,1.3874,0.96211,2.6229,1.6047,0.9829,1.9185,1.1886,1.5146,1.9344,1.6615
0.58667,1.6124,1.0873,0.46805,3.1235,1.8237,0.53303,2.5519,1.5112,1.0635,1.6757,1.3233
0.40764,1.4661,0.87679,0.11237,3.4209,1.9092,0.22916,2.97,1.6986,0.7071,1.5142,1.0512
0.09225,1.7051,0.92218,-0.16399,3.2833,1.7916,-0.134,3.0536,1.697,0.48059,1.621,0.95902
-0.07246,2.3438,1.1549,-0.47829,3.3246,1.7936,-0.4345,3.0988,1.6755,0.16747,2.1774,1.1916
-0.51112,3.0362,1.4848,-0.73724,2.9372,1.5973,-0.77343,2.9951,1.6442,-0.08854,2.8869,1.4922
-1.0197,3.2445,1.6389,-1.0158,2.7749,1.5435,-1.054,2.7857,1.5466,-0.51818,3.5478,1.7912
-1.0352,3.393,1.5084,-1.2976,2.958,1.586,-1.1914,2.7857,1.4422,-1.0114,3.8199,1.9563
-0.87175,3.1882,1.2255,-1.1185,3.0897,1.3457,-0.93149,2.81,1.1803,-1.1679,3.6914,1.7976
-0.72362,2.9318,0.95153,-0.82145,3.1085,1.0591,-0.68875,2.834,0.93402,-0.85917,3.6082,1.4538
-0.53055,2.6226,0.68536,-0.49185,3.2094,0.80689,-0.38285,2.8631,0.66628,-0.5574,3.8273,1.178
-0.20116,2.2805,0.3769,-0.22542,3.1692,0.52941,-0.08179,2.8789,0.38292,-0.23798,3.7968,0.84493
0.2,2.248,0.06904,0.05446,3.1609,0.26597,0.212,2.9148,0.08421,0.09282,3.8648,0.5324
0.2012,2.2805,-0.3769,0.238,3.7968,-0.8449,0.0818,2.8789,-0.3829,0.2254,3.1692,-0.5294
0.5305,2.6225,-0.6854,0.5574,3.8273,-1.178,0.3829,2.8631,-0.6663,0.4919,3.2094,-0.8069
0.7236,2.9318,-0.9515,0.8592,3.6082,-1.4538,0.6887,2.834,-0.934,0.8214,3.1085,-1.0591
0.8717,3.1882,-1.2255,1.1679,3.6914,-1.7976,0.9315,2.81,-1.1803,1.1185,3.0897,-1.3457
1.0352,3.393,-1.5084,1.0113,3.8199,-1.9563,1.1914,2.7857,-1.4422,1.2976,2.958,-1.586
1.0197,3.2445,-1.6389,0.5182,3.5478,-1.7912,1.0539,2.7857,-1.5466,1.0157,2.7749,-1.5435
0.5111,3.0362,-1.4848,0.0885,2.8869,-1.4922,0.7734,2.9951,-1.6442,0.7372,2.9372,-1.5973
0.0725,2.3438,-1.1549,-0.1675,2.1774,-1.1916,0.4345,3.0988,-1.6755,0.4783,3.3246,-1.7935
-0.0922,1.7051,-0.9222,-0.4806,1.6209,-0.959,0.134,3.0536,-1.697,0.164,3.2832,-1.7915
-0.4076,1.4661,-0.8768,-0.7071,1.5142,-1.0512,-0.2292,2.97,-1.6986,-0.1124,3.4209,-1.9091
-0.5867,1.6124,-1.0873,-1.0635,1.6757,-1.3233,-0.533,2.5519,-1.5112,-0.468,3.1235,-1.8237
-0.8813,1.91,-1.3874,-1.5146,1.9344,-1.6615,-0.9829,1.9185,-1.1886,-0.9621,2.6229,-1.6047
-1.6721,1.9429,-1.4125,-2.1263,1.8563,-1.6985,-1.5402,1.6074,-1.1057,-1.7426,1.9126,-1.3653
-1.9623,1.8821,-1.505,-2.5708,1.781,-1.7988,-1.8796,1.5893,-1.2472,-2.0126,1.862,-1.5016
-2.1713,1.809,-1.6095,-2.986,1.6742,-1.8946,-1.4894,1.9059,-1.5414,-1.7578,1.8149,-1.6297
-2.3867,1.7443,-1.6844,-3.3423,1.2894,-1.7379,-1.2136,2.1936,-1.8169,-1.4077,2.52,-2.0838
-2.2142,1.8578,-1.817,-2.9252,1.0714,-1.5211,-1.2607,2.2014,-1.882,-1.4132,2.4279,-2.0779
-1.8058,2.1027,-1.9685,-2.6443,0.9667,-1.3533,-1.1749,2.1884,-1.8943,-1.4089,2.3505,-2.0479
-1.7377,2.1817,-2.0181,-3.1011,1.2374,-1.6294,-1.1599,2.1432,-1.8209,-1.4071,2.3138,-2.0093
-1.5366,2.1036,-1.8892,-2.2867,2.01,-1.8537,-1.1178,2.0793,-1.6982,-1.2428,2.177,-1.824
-1.5111,1.9041,-1.6749,-0.9249,2.3894,-1.428,-1.0024,2.094,-1.5333,-1.4861,1.9979,-1.6371
-1.431,1.9097,-1.492,-0.5093,2.3608,-0.9862,-0.7324,2.1512,-1.2985,-1.1321,1.957,-1.2918
-1.1053,1.8349,-1.091,-0.0617,2.276,-0.5172,-0.433,2.1779,-1.0164,-0.6519,1.8768,-0.8658
-0.6272,1.8111,-0.6823,0.1577,2.3253,-0.2072,-0.3978,2.0473,-0.7281,-0.153,1.8139,-0.4248
0.0526,1.8542,-0.1973,0.0522,2.0592,0.162,-0.5682,1.634,-0.3717,0.356,1.8519,-0.0152
0.8408,1.9255,0.3061,0.2217,1.6552,0.4959,-0.1492,1.417,0.0016,0.8504,1.7536,0.4254
0.585,2.0241,0.0942,0.5676,1.5955,0.5962,0.5131,1.4552,0.2554,0.3065,2.0597,0.0177
0.374,2.4532,-0.0618,0.7911,1.7833,0.5614,0.9066,1.7577,0.3772,0.1995,2.4708,-0.0541
0.2459,2.7506,-0.0887,0.7873,2.2483,0.491,1.129,2.2687,0.4082,0.1148,2.7136,-0.0635
0.0857,2.8143,-0.0951,0.5593,2.7304,0.3452,0.8568,2.808,0.1562,0.0093,2.7537,-0.0508
-0.0305,2.989,-0.0918,0.2139,3.2738,0.1964,0.4162,3.2468,-0.0733,-0.0742,2.847,-0.0391
-0.1087,3.0694,-0.07,-0.198,3.6238,0.0684,0.0393,3.3685,-0.2074,-0.1673,2.8186,-0.0261
-0.2192,3.221,-0.0539,-0.4741,3.6162,0.0064,-0.2208,3.333,-0.2524,-0.2077,2.9841,0.0052
-0.3063,3.276,-0.0142,-0.5699,3.4834,0.0228,-0.4229,3.0047,-0.2569,-0.2555,3.1058,0.0434
-0.3995,3.3516,0.0211,-0.6606,3.5161,0.0559,-0.5436,2.4876,-0.2415,-0.3102,3.1742,0.0819
