CL1,CD1,CM1
0.465,3.62,0.099
0.4,3.53,0.113
0.35,3.7,0.143
0.188,3.43,0.162
0.0925,3.31,0.171
-0.00134,3.3,0.184
-0.154,3.16,0.185
-0.252,2.81,0.167
-0.333,2.29,0.0835
-0.567,1.94,-0.105
-0.304,1.74,-0.0424
0.318,1.47,0.251
0.683,1.43,0.595
0.995,1.39,0.976
1.18,1.4,1.3
1.29,1.41,1.54
1.34,1.42,1.63
1.4,1.45,1.68
1.46,1.46,1.7
2,1.05,1.44
2.06,1.21,1.37
1.91,1.32,1.29
1.82,1.36,1.18
1.49,1.51,1.33
1.07,2.11,1.62
0.778,2.55,1.7
0.481,2.6,1.62
0.264,2.66,1.58
-0.000496,2.76,1.57
-0.38,2.67,1.51
-0.604,2.45,1.39
-0.541,2.4,1.18
-0.351,2.15,0.867
-0.112,2.23,0.603
0.0706,2.33,0.364
0.288,2.33,0.0933
0.457,2.3,-0.194
-0.288,2.33,-0.0933
-0.0706,2.33,-0.364
0.112,2.23,-0.603
0.351,2.15,-0.867
0.541,2.4,-1.18
0.604,2.45,-1.39
0.38,2.67,-1.51
0.000496,2.76,-1.57
-0.264,2.66,-1.58
-0.481,2.6,-1.62
-0.778,2.55,-1.7
-1.07,2.11,-1.62
-1.49,1.51,-1.33
-1.82,1.36,-1.18
-1.91,1.32,-1.29
-2.06,1.21,-1.37
-2,1.05,-1.44
-1.46,1.46,-1.7
-1.4,1.45,-1.68
-1.34,1.42,-1.63
-1.29,1.41,-1.54
-1.18,1.4,-1.3
-0.995,1.39,-0.976
-0.683,1.43,-0.595
-0.318,1.47,-0.251
0.304,1.74,0.0424
0.567,1.94,0.105
0.333,2.29,-0.0835
0.252,2.81,-0.167
0.154,3.16,-0.185
0.00134,3.3,-0.184
-0.0925,3.31,-0.171
-0.188,3.43,-0.162
-0.35,3.7,-0.143
-0.4,3.53,-0.113
-0.465,3.6561,-0.0902
