CL1,CD1,CM1
0.419360,2.915400,0.038210
0.364800,3.073700,0.066140
0.263660,2.863100,0.081660
0.169600,2.783200,0.093570
0.060530,2.598800,0.098410
-0.073070,2.438900,0.088240
-0.247160,2.580600,0.074180
-0.349840,2.015200,0.020990
-0.753240,1.789900,-0.195820
-0.461700,1.834400,0.014580
-0.057340,1.752600,0.269070
0.270200,1.789300,0.529670
0.537780,1.822200,0.758550
0.731200,1.835200,0.936500
0.852190,1.832400,1.054700
1.040600,1.954800,1.195800
1.100800,2.038000,1.281200
1.096800,1.997300,1.264500
1.083500,1.929200,1.210300
1.085600,1.900500,1.144400
1.290700,1.737000,1.005700
1.592800,1.550100,0.873620
1.651900,1.521300,0.778260
0.941400,1.952300,0.875030
0.417530,2.502700,1.077400
0.174060,2.607800,1.068900
-0.061040,2.795900,1.098200
-0.269940,2.787000,1.058700
-0.462000,2.729500,1.009600
-0.648980,2.690600,0.984820
-0.862290,2.567700,0.962790
-1.115200,2.380600,0.935420
-1.046300,2.500100,0.833200
-0.683980,2.348600,0.603610
-0.275640,2.304000,0.373530
0.120970,2.475800,0.153360
0.450780,2.037000,-0.128770
-0.120970,2.475800,-0.153360
0.275640,2.304000,-0.373530
0.683980,2.348600,-0.603610
1.046300,2.500100,-0.833200
1.115200,2.380600,-0.935420
0.862290,2.567700,-0.962790
0.648980,2.690600,-0.984820
0.462000,2.729500,-1.009600
0.269940,2.787000,-1.058700
0.061040,2.795900,-1.098200
-0.174060,2.607800,-1.068900
-0.417530,2.502700,-1.077400
-0.941400,1.952300,-0.875030
-1.651900,1.521300,-0.778260
-1.592800,1.550100,-0.873620
-1.290700,1.737000,-1.005700
-1.085600,1.900500,-1.144400
-1.083500,1.929200,-1.210300
-1.096800,1.997300,-1.264500
-1.100800,2.038000,-1.281200
-1.040600,1.954800,-1.195800
-0.852190,1.832400,-1.054700
-0.731200,1.835200,-0.936500
-0.537780,1.822200,-0.758550
-0.270200,1.789300,-0.529670
0.057340,1.752600,-0.269070
0.461700,1.834400,-0.014580
0.753240,1.789900,0.195820
0.349840,2.015200,-0.020990
0.247160,2.580600,-0.074180
0.073070,2.438900,-0.088240
-0.060530,2.598800,-0.098410
-0.169600,2.783200,-0.093570
-0.263660,2.863100,-0.081660
-0.364800,3.073700,-0.066140
-0.419400,2.915400,-0.038200
