CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.34209,0.59169,0.28066,0.51264,0.60951,0.40723,-0.93288,0.61447,-1.0777,-0.36383,0.69237,-0.45943
1.4785,0.46889,1.2985,1.4529,0.46485,1.2625,-0.43251,0.66149,-0.51144,0.34816,0.64424,0.26219
1.8564,0.60214,1.7732,1.4463,0.68237,1.3912,0.19927,0.72053,0.16885,1.2585,0.55505,1.1755
1.4035,0.95849,1.4257,1.394,0.89559,1.4439,1.0734,0.57698,1.0674,2.1362,0.4638,2.1912
1.36,1.1341,1.4721,1.4553,1.0452,1.5471,2.0465,0.48887,2.0648,1.6301,0.93077,1.6972
1.4514,1.3415,1.6326,1.5173,1.2553,1.6586,1.3758,0.9529,1.4972,1.5339,1.1798,1.6687
1.6111,1.609,1.8431,1.529,1.5048,1.7382,1.6217,1.1721,1.803,1.6933,1.4669,1.9316
1.6842,1.8876,1.9979,1.6016,1.8382,1.9003,2.4947,0.71921,2.7419,1.8549,1.3281,2.2027
1.6248,2.0978,2.0603,1.6052,2.177,2.0231,1.7838,0.66135,1.9989,1.4613,1.0585,1.7819
1.5007,2.2677,2.0828,1.504,2.3666,2.0413,1.4184,0.81445,1.5605,1.2389,1.0767,1.4728
1.3169,2.3451,1.9933,1.3949,2.5728,2.0709,1.4975,1.2874,1.7875,1.3611,1.6902,1.7842
1.2112,2.5507,2.0093,1.2297,2.7061,2.0327,1.4122,1.8776,1.9661,1.2945,2.2514,2
0.99651,2.5912,1.9178,1.0962,2.9596,2.0768,1.3176,2.3928,2.1033,1.2676,2.7244,2.1874
0.81557,2.7346,1.9039,0.85592,2.8979,1.9352,1.2226,2.9078,2.2508,1.1733,3.0209,2.2686
0.66279,2.9586,1.9334,0.66566,3.0376,1.9195,0.98433,2.9568,2.1683,0.95701,3.1419,2.2304
0.46931,3.0608,1.8773,0.49587,3.2269,1.9221,0.77642,2.9992,2.0799,0.56119,3.2234,2.1931
0.28381,3.1774,1.83,0.29936,3.3846,1.903,0.57376,3.0838,2.0228,0.09943,2.8707,1.9023
0.0883,3.0639,1.6552,0.0911,3.4848,1.8582,0.39802,3.2446,2.0027,-0.16524,2.2795,1.4822
-0.11751,3.2053,1.6238,-0.12333,3.4876,1.7603,0.21858,3.2505,1.8744,-0.08953,2.0309,1.1549
-0.28003,3.122,1.4745,-0.29672,3.3672,1.6015,0.02164,3.2557,1.7588,-0.18945,2.6425,1.3496
-0.42118,2.9224,1.2787,-0.46761,3.2536,1.4486,-0.16675,3.2029,1.6226,-0.32896,3.1932,1.5761
-0.5698,2.9468,1.209,-0.61781,3.1273,1.3059,-0.33561,3.0831,1.4607,-0.42462,3.3739,1.5485
-0.71932,3.0273,1.178,-0.71666,2.9246,1.13,-0.49854,3.073,1.3598,-0.54253,3.2243,1.3782
-0.89295,2.9381,1.0963,-0.76699,2.7309,0.95491,-0.63379,2.9738,1.2268,-0.69171,3.0242,1.2051
-1.0504,2.4992,0.87407,-0.82607,2.6437,0.84416,-0.74201,2.8701,1.0937,-0.91318,2.7585,1.0506
-1.1112,2.0425,0.68712,-0.85983,2.5549,0.74502,-0.84746,2.7882,0.98186,-1.0431,2.3366,0.86166
-0.96557,1.4606,0.47758,-0.79084,2.2674,0.57715,-0.87995,2.5745,0.82721,-0.96022,1.7618,0.63204
-0.69761,1.2595,0.33451,-0.73085,2.0775,0.45932,-0.90001,2.4208,0.69639,-0.68675,1.5421,0.45543
-0.61616,1.5528,0.30225,-0.55646,1.7164,0.29781,-0.8757,2.2509,0.58027,-0.58828,1.7169,0.41702
-0.6197,1.7272,0.33715,-0.36031,1.424,0.16205,-0.80105,2.0264,0.45356,-0.62729,1.9357,0.45219
-0.3864,1.4921,0.20752,-0.21655,1.2711,0.08887,-0.7014,1.8208,0.34681,-0.47844,1.7457,0.32262
-0.11892,1.2319,0.07475,-0.01817,1.0863,-0.01302,-0.55043,1.6308,0.24081,-0.27143,1.441,0.18503
0.39922,0.99908,-0.18525,0.33489,0.88501,-0.21668,-0.3344,1.4215,0.13663,-0.05963,1.242,0.0832
0.69061,0.80455,-0.25835,0.59183,0.78333,-0.25762,-0.08894,1.1907,0.03513,0.41695,0.96962,-0.17827
0.22515,0.74377,-0.06056,0.41714,0.7077,-0.13182,0.35334,0.91721,-0.18745,0.59518,0.80764,-0.19262
-0.12661,0.45355,-0.02382,0.06836,0.64555,-0.01297,0.6681,0.77895,-0.23847,0.29441,0.66977,-0.04594
