CL1,CD1,CM1
0.22872,0.81896,0.10139
0.34135,0.81749,0.22644
0.43992,0.86632,0.33645
0.53464,0.91327,0.42732
0.66122,0.96393,0.50812
0.72838,1.0759,0.5728
0.76321,1.1997,0.62182
0.79708,1.3358,0.66491
0.81987,1.485,0.69724
0.79837,1.6531,0.72264
0.71471,1.7362,0.70897
0.6181,1.8194,0.69443
0.50251,1.8606,0.6616
0.40371,1.9657,0.65316
0.301,2.0302,0.63056
0.21339,2.2089,0.63933
0.11624,2.2641,0.60761
-0.00105,2.2894,0.56482
-0.06953,2.264,0.51223
-0.14122,2.2807,0.47333
-0.19991,2.2627,0.42455
-0.23652,2.1305,0.35022
-0.27141,2.0132,0.28954
-0.26228,1.8815,0.22194
-0.24199,1.7851,0.17151
-0.22677,1.7089,0.1338
-0.19018,1.6136,0.0934
-0.12222,1.542,0.06298
-0.01237,1.4294,0.02818
0.09082,1.3195,-0.00038382
0.27578,1.1429,-0.05553
0.49594,0.99581,-0.1194
0.52433,0.95215,-0.09985
0.46527,0.9812,-0.06303
0.27651,1.0398,-0.02931
0.15245,1.0691,-0.01346
-0.08626,1.1024,0.01406
-0.1525,1.0691,0.0135
-0.2765,1.0398,0.0293
-0.4653,0.9812,0.063
-0.5243,0.9522,0.0998
-0.4959,0.9958,0.1194
-0.2758,1.1429,0.0555
-0.0908,1.3195,0.0004
0.0124,1.4294,-0.0282
0.1222,1.5419,-0.063
0.1902,1.6136,-0.0934
0.2268,1.7089,-0.1338
0.242,1.7851,-0.1715
0.2623,1.8815,-0.2219
0.2714,2.0132,-0.2895
0.2365,2.1305,-0.3502
0.1999,2.2626,-0.4246
0.1412,2.2807,-0.4733
0.0695,2.264,-0.5122
0.001,2.2894,-0.5648
-0.1162,2.2641,-0.6076
-0.2134,2.2088,-0.6393
-0.301,2.0301,-0.6306
-0.4037,1.9657,-0.6532
-0.5025,1.8606,-0.6616
-0.6181,1.8194,-0.6944
-0.7147,1.7362,-0.709
-0.7984,1.6531,-0.7226
-0.8199,1.485,-0.6972
-0.7971,1.3358,-0.6649
-0.7632,1.1997,-0.6218
-0.7284,1.0759,-0.5728
-0.6612,0.9639,-0.5081
-0.5346,0.9133,-0.4273
-0.4399,0.8663,-0.3364
-0.3413,0.8175,-0.2264
-0.2287,0.819,-0.1014
