CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
-0.03747,0.70929,-0.1135,0.12079,0.78277,0.04322,0.30929,0.51623,0.18357,-0.30429,0.77791,-0.34424
0.33655,0.68435,0.25103,0.60423,0.65498,0.39909,0.95476,0.58793,0.68566,0.16633,0.82151,0.03119
0.88544,0.67798,0.67731,0.79745,0.77211,0.63605,0.86683,0.89294,0.71243,0.67865,0.74188,0.46761
1.0641,0.80404,0.84108,0.89773,0.90179,0.7788,0.954,1.0059,0.85905,1.392,0.72881,0.97299
1.0171,0.94138,0.87661,1.0076,1.0296,0.8863,1.0475,1.141,0.98465,1.4814,0.87291,1.0955
1.1232,1.1118,0.98935,1.0776,1.1457,0.97714,1.1909,1.3456,1.1517,1.3217,1.1167,1.0854
1.1586,1.2774,1.0732,1.1332,1.2798,1.0641,1.2549,1.5599,1.2805,1.2379,1.3444,1.1079
1.2237,1.4878,1.174,1.1699,1.4833,1.1548,1.5462,1.3112,1.5104,1.5339,1.2394,1.4188
1.2346,1.7106,1.2426,1.1724,1.6996,1.2228,1.2644,0.99944,1.2835,1.3631,1.0469,1.2766
1.1776,1.8896,1.2854,1.1306,1.8858,1.2677,0.99768,0.88872,0.96268,1.1245,1.0269,1.0144
1.0622,1.9995,1.2677,1.0458,2.0194,1.2634,1.0696,1.3219,1.1167,1.2133,1.4951,1.1571
0.92475,2.0476,1.2157,0.90767,2.0987,1.2398,0.88601,1.8738,1.2414,1.0674,1.9807,1.2409
0.79041,2.1354,1.1824,0.76927,2.1687,1.2095,0.75895,2.3141,1.3285,0.9589,2.3489,1.286
0.6915,2.2868,1.1849,0.6593,2.2832,1.1955,0.63961,2.53,1.3314,0.86865,2.5401,1.3099
0.57219,2.3919,1.1615,0.55314,2.405,1.1797,0.48531,2.6747,1.3209,0.69598,2.5691,1.2478
0.43894,2.437,1.1084,0.45302,2.5209,1.156,0.30914,2.6512,1.2351,0.5203,2.768,1.276
0.3127,2.4977,1.0623,0.34988,2.6344,1.13,0.15651,2.5851,1.1304,0.05926,2.5536,1.1543
0.1804,2.6689,1.0664,0.22109,2.6773,1.0667,0.01712,2.6773,1.0954,-0.22788,2.0469,0.89432
0.04233,2.5969,0.96208,0.10263,2.6848,0.99496,-0.11546,2.647,1.0002,-0.17623,1.7584,0.66732
-0.07357,2.7031,0.93415,-0.00915,2.6864,0.92586,-0.25724,2.7209,0.95828,-0.17767,2.1654,0.72396
-0.17466,2.6728,0.85626,-0.11103,2.6317,0.83957,-0.33967,2.4328,0.77053,-0.26593,2.7074,0.89408
-0.2519,2.4884,0.71854,-0.19661,2.5137,0.7284,-0.43079,2.4144,0.6981,-0.2811,2.6661,0.80738
-0.35027,2.5467,0.68152,-0.24528,2.3614,0.61134,-0.50557,2.3834,0.62079,-0.36207,2.4862,0.67716
-0.44245,2.5207,0.63489,-0.26998,2.2087,0.49966,-0.55535,2.2628,0.52915,-0.47605,2.486,0.63772
-0.58273,2.2087,0.5062,-0.30414,2.1278,0.43159,-0.60368,2.1974,0.46612,-0.65087,2.3827,0.56724
-0.68514,1.8067,0.3811,-0.33548,2.1225,0.38869,-0.62554,2.1362,0.40312,-0.78574,2.0456,0.45598
-0.67405,1.3763,0.27145,-0.30599,1.949,0.29986,-0.59304,1.9616,0.3125,-0.78069,1.6603,0.34797
-0.45768,1.0973,0.17344,-0.29932,1.8737,0.2521,-0.55611,1.8383,0.2498,-0.57397,1.4311,0.25129
-0.26991,1.2819,0.12389,-0.24452,1.6817,0.19867,-0.44328,1.5791,0.16744,-0.42581,1.608,0.21596
-0.22326,1.5172,0.14006,-0.17102,1.4113,0.14148,-0.33366,1.3829,0.10401,-0.3499,1.618,0.19076
-0.10238,1.4771,0.11277,-0.09136,1.274,0.10391,-0.20515,1.2502,0.05754,-0.27391,1.5035,0.15419
0.01755,1.2569,0.04947,0.02341,1.2011,0.04806,0.13271,1.0603,-0.08442,-0.16667,1.4279,0.10614
0.32014,1.0093,-0.12424,0.22275,0.98656,-0.10297,0.54482,0.86862,-0.20959,0.05558,1.2021,0.00843
0.58968,0.86115,-0.21492,0.39496,0.82179,-0.13907,0.67644,0.77112,-0.19487,0.42852,0.91216,-0.1579
0.41111,0.84433,-0.10053,0.35502,0.70609,-0.07661,0.56535,0.77906,-0.12065,0.47623,0.73957,-0.13627
0.0674,0.61593,-0.03249,0.24015,0.68836,-0.02134,0.15142,0.78002,-0.03875,0.23556,0.80587,-0.05356
0.07009,0.45682,-0.01956,0.01314,0.73848,0.01101,-0.2145,0.7693,0.02293,0.0942,0.88498,-0.0117
-0.0674,0.6159,0.0325,-0.2356,0.8059,0.0536,-0.1514,0.78,0.0387,-0.2401,0.6884,0.0213
-0.4111,0.8443,0.1005,-0.4762,0.7396,0.1363,-0.5654,0.7791,0.1207,-0.355,0.7061,0.0766
-0.5897,0.8612,0.2149,-0.4285,0.9122,0.1579,-0.6764,0.7711,0.1949,-0.395,0.8218,0.1391
-0.3201,1.0093,0.1242,-0.0556,1.2021,-0.0084,-0.5448,0.8686,0.2096,-0.2227,0.9866,0.103
