CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.46176,0.58963,0.39669,0.70631,0.46963,0.56467,-0.90778,0.62729,-1.094,-0.3431,0.62784,-0.40168
1.6622,0.40062,1.5453,1.5755,0.40122,1.4064,-0.34271,0.64409,-0.44898,0.34538,0.5751,0.32908
2.3332,0.37562,2.343,1.7112,0.55135,1.6748,0.24755,0.69655,0.21173,1.221,0.46074,1.2428
1.4469,0.90578,1.5641,1.6116,0.79274,1.6901,1.2494,0.49229,1.2306,2.0154,0.4147,2.1769
1.3149,1.1629,1.4975,1.3535,1.025,1.5249,1.9608,0.4634,2.0749,1.4797,0.84658,1.6628
1.4563,1.4038,1.7163,1.3861,1.2156,1.6084,1.4257,0.88048,1.6172,1.4339,1.1102,1.6714
1.493,1.597,1.8273,1.4685,1.4784,1.7418,1.7309,1.0463,1.9322,1.6262,1.3727,1.9434
1.4659,1.7929,1.9027,1.519,1.8261,1.9056,2.435,0.60491,2.6874,2.0783,1.2014,2.4376
1.475,2.077,2.0537,1.5557,2.1993,2.0797,1.826,0.58826,2.0253,1.5952,0.99352,1.9395
1.3696,2.2293,2.0492,1.4929,2.4887,2.169,1.4318,0.74041,1.5441,1.357,0.98657,1.5885
1.2348,2.3959,2.0472,1.3494,2.6593,2.1622,1.5566,1.2379,1.8174,1.4513,1.5773,1.897
1.0894,2.5341,2.0158,1.1654,2.7884,2.1197,1.4127,1.759,1.9358,1.3176,2.1585,2.0694
0.96036,2.8241,2.1148,0.98031,2.8872,2.0612,1.3094,2.4143,2.1677,1.1824,2.6204,2.1868
0.77621,2.967,2.1027,0.79419,2.9765,2.0096,1.1227,2.8688,2.2816,1.0419,2.9708,2.2633
0.57512,3.0059,2.0202,0.60738,3.1379,2.0063,0.87554,2.8903,2.1686,0.85392,3.2269,2.3113
0.38891,3.2228,2.0314,0.41384,3.3911,2.047,0.69027,2.9641,2.0982,0.485,3.2712,2.2454
0.1682,3.1619,1.8899,0.20448,3.4446,1.9751,0.48787,3.1161,2.0843,0.13154,2.8864,1.9309
-0.03641,3.291,1.8536,-0.00357,3.5492,1.9186,0.30027,3.3634,2.1124,-0.10262,2.2255,1.463
-0.21441,3.2196,1.6828,-0.19644,3.4739,1.7672,0.10246,3.4386,2.0278,-0.02299,1.9837,1.1296
-0.3797,3.1566,1.5295,-0.38485,3.364,1.6137,-0.10711,3.4243,1.9025,-0.12635,2.5851,1.3402
-0.52899,3.0001,1.3504,-0.53356,3.2589,1.467,-0.29472,3.3515,1.7442,-0.33127,3.0952,1.5428
-0.67848,2.9982,1.2773,-0.66221,3.1298,1.3103,-0.46667,3.3533,1.6372,-0.50294,3.3763,1.5637
-0.80489,3.0079,1.1946,-0.7649,2.9581,1.1391,-0.62467,3.2465,1.4784,-0.63985,3.2573,1.397
-0.95744,2.9089,1.1397,-0.8344,2.801,0.98396,-0.76198,3.184,1.3607,-0.81338,3.1325,1.2729
-1.0917,2.4805,0.89482,-0.83483,2.5846,0.81754,-0.86494,3.0257,1.1894,-0.91174,2.6231,1.0003
-1.0608,1.9398,0.6486,-0.82604,2.4283,0.69261,-0.8955,2.7135,0.96541,-0.94152,2.1849,0.79183
-0.90036,1.4173,0.44527,-0.80269,2.2669,0.56618,-0.94089,2.6337,0.86169,-0.87814,1.756,0.60386
-0.59797,1.2269,0.28857,-0.75074,2.08,0.4543,-0.91952,2.3824,0.68849,-0.61326,1.5505,0.43043
-0.53976,1.5199,0.26561,-0.58018,1.7825,0.30204,-0.89282,2.2034,0.57925,-0.56418,1.7963,0.40376
-0.58017,1.6774,0.30647,-0.38521,1.4856,0.16933,-0.79424,1.9436,0.43095,-0.63294,1.9778,0.4404
-0.34634,1.4046,0.16729,-0.18869,1.265,0.06486,-0.66592,1.7027,0.30525,-0.46531,1.717,0.29554
-0.02184,1.0909,-0.00393,0.11913,1.0146,-0.10568,-0.44916,1.436,0.18916,-0.2347,1.4047,0.15581
0.49359,0.83868,-0.2615,0.4589,0.80004,-0.27292,-0.25199,1.2588,0.09261,0.07847,1.0975,-0.03513
0.56541,0.7405,-0.22483,0.54617,0.70401,-0.25588,0.05947,1.0571,-0.05076,0.48109,0.84777,-0.22535
0.17712,0.64192,-0.07009,0.36765,0.66528,-0.14056,0.43137,0.81745,-0.23338,0.47789,0.76212,-0.15483
-0.00141,0.40252,-0.05567,0.09399,0.59924,-0.03525,0.58976,0.70602,-0.22806,0.27486,0.65459,-0.04347
-0.01301,0.39987,0.12131,-0.17842,0.60154,0.0592,0.49087,0.64478,-0.12489,0.09663,0.56196,0.01185
0.00141,0.40252,0.05567,-0.27486,0.65459,0.04347,-0.58976,0.70602,0.22806,-0.09399,0.59924,0.03525
-0.17712,0.64192,0.07009,-0.47789,0.76212,0.15483,-0.43137,0.81745,0.23338,-0.36765,0.66528,0.14056
-0.56541,0.7405,0.22483,-0.48109,0.84777,0.22535,-0.05947,1.0571,0.05076,-0.54617,0.70401,0.25588
-0.49359,0.83868,0.2615,-0.07847,1.0975,0.03513,0.25199,1.2588,-0.09261,-0.4589,0.80004,0.27292
0.02184,1.0909,0.00393,0.2347,1.4047,-0.15581,0.44916,1.436,-0.18916,-0.11913,1.0146,0.10568
0.34634,1.4046,-0.16729,0.46531,1.717,-0.29554,0.66592,1.7027,-0.30525,0.18869,1.265,-0.06486
0.58017,1.6774,-0.30647,0.63294,1.9778,-0.4404,0.79424,1.9436,-0.43095,0.38521,1.4856,-0.16933
0.53976,1.5199,-0.26561,0.56418,1.7963,-0.40376,0.89282,2.2034,-0.57925,0.58018,1.7825,-0.30204
0.59797,1.2269,-0.28857,0.61326,1.5505,-0.43043,0.91952,2.3824,-0.68849,0.75074,2.08,-0.4543
0.90036,1.4173,-0.44527,0.87814,1.756,-0.60386,0.94089,2.6337,-0.86169,0.80269,2.2669,-0.56618
1.0608,1.9398,-0.6486,0.94152,2.1849,-0.79183,0.8955,2.7135,-0.96541,0.82604,2.4283,-0.69261
1.0917,2.4805,-0.89482,0.91174,2.6231,-1.0003,0.86494,3.0257,-1.1894,0.83483,2.5846,-0.81754
0.95744,2.9089,-1.1397,0.81338,3.1325,-1.2729,0.76198,3.184,-1.3607,0.8344,2.801,-0.98396
