CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.43769,3.0852,-0.04929,0.38275,3.113,-0.13038,0.39169,2.0298,0.13889,0.77404,3.5163,-0.08255
0.35836,3.1073,-0.01981,0.33483,3.114,-0.09032,0.51332,2.4125,0.2201,0.71903,3.666,-0.05128
0.27386,3.0197,0.01668,0.3237,3.1365,-0.04576,0.38967,2.7957,0.23462,0.64993,3.7186,-0.02374
0.19848,2.8337,0.05373,0.27433,3.0017,-0.00846,0.20595,3.1435,0.23003,0.53426,3.7949,-0.00245
0.10893,2.7698,0.07447,0.24297,2.8552,0.01574,-0.03083,3.2117,0.19303,0.30092,3.7721,-0.01709
0.03732,2.6805,0.09549,0.15358,2.791,0.04649,-0.36589,3.1075,0.08201,-0.15674,3.5004,-0.17539
-0.07136,2.6115,0.10226,0.08111,2.607,0.06747,-0.84802,2.76,-0.16116,-0.56086,2.9889,-0.3312
-0.20043,2.5458,0.10859,-0.00009008,2.5336,0.07563,-1.1791,2.2775,-0.41538,-0.85829,2.4788,-0.50181
-0.36336,2.2858,0.06053,-0.10419,2.347,0.06187,-0.95893,1.7453,-0.38063,-0.89954,1.9627,-0.61695
-0.67809,1.9586,-0.14785,-0.25932,1.9157,-0.06909,-0.51949,1.3847,-0.23843,-0.62189,1.6494,-0.60126
-0.86196,1.8448,-0.2848,-0.80523,1.7194,-0.46774,0.03185,1.3928,0.00571,-0.27608,1.7831,-0.51515
-0.32419,1.8169,0.15167,-0.23766,1.8683,0.03327,0.31988,1.7117,0.36539,-0.04791,2.3106,-0.11881
0.25475,1.8764,0.63744,0.25328,1.8512,0.44226,0.28954,2.0615,0.71241,-0.02283,2.5485,0.28031
0.75114,1.9739,1.0916,0.76085,1.9127,0.88455,0.42517,2.2084,1.0403,0.18849,2.4634,0.57142
1.1992,2.0881,1.5088,1.1191,2.1291,1.3674,0.73284,2.2115,1.335,0.64632,2.5239,1.06
1.31,2.0009,1.6385,1.3981,2.2433,1.7455,0.91748,2.0407,1.473,1.0069,2.6459,1.5143
1.5992,2.2428,1.9307,1.7111,2.3223,1.972,1.3249,2.2766,1.8238,2.0309,2.2818,1.8742
1.6754,2.3169,2.0207,1.7764,2.4664,2.1255,1.3525,2.2616,1.877,2.8376,1.4871,1.7024
1.6357,2.3606,2.0596,1.8036,2.5599,2.209,1.381,2.3065,1.9375,2.8737,1.161,1.5225
1.5908,2.4043,2.0506,1.7862,2.7205,2.2585,1.4033,2.3471,1.9526,3.3102,1.2238,1.6949
1.9473,2.2422,1.8925,1.7227,2.7889,2.2218,1.3602,2.3014,1.8354,3.647,1.5235,1.8719
2.3146,1.9762,1.7072,1.6834,2.2927,1.7625,1.2326,2.3419,1.7617,1.9667,2.5578,2.1444
2.1541,1.962,1.5819,2.069,2.0591,1.5681,1.5623,1.9624,1.3971,2.5054,2.3358,2.0085
1.7863,1.9851,1.4823,2.1498,2.0041,1.3739,1.8519,1.6634,1.0691,2.5291,2.0832,1.7612
0.92149,1.9018,1.4001,1.309,2.9648,1.7438,1.2396,1.9606,1.1585,1.765,2.0574,1.7328
0.69189,1.6593,1.0893,0.67069,3.6025,1.9435,0.71466,2.6538,1.5257,1.249,1.8176,1.4054
0.48572,1.5216,0.86794,0.37205,3.7562,1.9478,0.32682,3.0626,1.7076,0.83398,1.6766,1.0803
0.08461,1.7073,0.86083,-0.03825,3.7419,1.9156,0.09941,3.262,1.7138,0.62545,1.7822,0.98044
-0.20363,2.2922,1.1188,-0.4003,3.6873,1.8323,-0.18974,3.1532,1.627,0.19826,2.3579,1.221
