CL1,CD1,CM1
0.54311,3.6811,0.0592
0.48494,3.6974,0.09865
0.37271,3.7112,0.12823
0.24411,3.6375,0.14196
0.13341,3.5481,0.16421
-0.01669,3.4663,0.16366
-0.14048,3.2554,0.16999
-0.28212,2.9101,0.14126
-0.42611,2.4747,0.05999
-0.74642,2.1622,-0.17254
-0.63084,2.1307,-0.0543
-0.12815,2.0838,0.32917
0.41079,2.065,0.71699
0.77698,2.0279,1.0432
1.1345,2.1394,1.417
1.4708,2.1941,1.6563
1.5815,2.2496,1.7937
1.4704,2.2129,1.7816
1.4276,2.2466,1.7995
1.4112,2.2137,1.7427
1.8366,2.1376,1.67
2.0857,1.7346,1.3893
2.0343,1.6649,1.2406
1.4294,2.1308,1.3549
0.96122,2.8843,1.7042
0.56229,3.1124,1.7231
0.23616,3.1159,1.6639
0.03139,3.1441,1.5999
-0.24008,3.1663,1.5648
-0.47948,3.1809,1.5423
-0.79734,3.0603,1.5271
-1.0476,2.8204,1.433
-0.88555,2.3695,1.0858
-0.52604,2.346,0.7713
-0.1734,2.4159,0.47243
0.1274,2.4104,0.18455
0.36194,2.3608,-0.11106
-0.1274,2.4104,-0.1845
0.1734,2.4159,-0.4724
0.526,2.346,-0.7713
0.8856,2.3695,-1.0858
1.0476,2.8203,-1.433
0.7973,3.0603,-1.5271
0.4795,3.1809,-1.5423
0.2401,3.1662,-1.5648
-0.0314,3.1441,-1.5999
-0.2362,3.1159,-1.6639
-0.5623,3.1124,-1.7231
-0.9612,2.8843,-1.7042
-1.4294,2.1308,-1.3549
-2.0343,1.6649,-1.2406
-2.0856,1.7346,-1.3893
-1.8365,2.1376,-1.67
-1.4112,2.2136,-1.7427
-1.4276,2.2466,-1.7995
-1.4704,2.2129,-1.7816
-1.5815,2.2496,-1.7937
-1.4708,2.1941,-1.6563
-1.1345,2.1393,-1.417
-0.777,2.0279,-1.0432
-0.4108,2.065,-0.717
0.1281,2.0838,-0.3292
0.6308,2.1307,0.0543
0.7464,2.1622,0.1725
0.4261,2.4747,-0.06
0.2821,2.9101,-0.1413
0.1405,3.2554,-0.17
0.0167,3.4663,-0.1637
-0.1334,3.548,-0.1642
-0.2441,3.6375,-0.142
-0.3727,3.7111,-0.1282
-0.4849,3.6974,-0.0986
-0.5431,3.6811,-0.0592
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
