CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.1051,2.0437,-0.3236,0.2063,2.2677,-0.4679,-0.0106,2.1321,-0.4556,0.1128,2.1183,-0.3953
0.0669,2.2308,-0.41,0.1512,1.9744,-0.4555,-0.0733,2.1567,-0.5134,0.0885,2.1295,-0.4504
0.0207,2.3138,-0.4756,0.1376,1.6371,-0.4226,-0.1653,2.1442,-0.5633,0.0311,2.1862,-0.5098
-0.0467,2.1944,-0.4921,0.1632,1.842,-0.5424,-0.2601,2.1042,-0.6061,-0.0286,2.105,-0.5387
-0.1191,2.159,-0.5314,-0.043,2.1363,-0.6499,-0.3637,2.0616,-0.6503,-0.1207,2.0127,-0.5604
-0.2103,2.0588,-0.5506,-0.3627,2.1709,-0.6783,-0.4669,1.9307,-0.6632,-0.2253,2.0119,-0.6076
-0.3172,2.0446,-0.5909,-0.5029,2.1349,-0.7161,-0.5969,1.9552,-0.7196,-0.2994,1.9584,-0.643
-0.4233,1.975,-0.6137,-0.603,2.0605,-0.7356,-0.6853,1.9129,-0.7476,-0.3835,1.8775,-0.6669
-0.5293,1.8923,-0.629,-0.7296,1.9659,-0.7457,-0.8744,1.9418,-0.8233,-0.4866,1.7879,-0.6725
-0.6269,1.8386,-0.656,-0.9445,1.6815,-0.7692,-0.9861,1.5552,-0.8043,-0.5999,1.7737,-0.7095
-0.7566,1.8348,-0.7034,-1.3067,1.1085,-0.7942,-1.2859,1.064,-0.8252,-0.71,1.756,-0.7416
-0.8386,1.7405,-0.72,-1.1746,0.643,-0.697,-1.207,0.5675,-0.7192,-0.7756,1.6965,-0.764
-0.9087,1.5793,-0.7197,-1.3155,0.6399,-0.835,-1.2536,0.5048,-0.8225,-0.825,1.594,-0.7605
-0.9605,1.4562,-0.7056,-1.5055,0.8441,-0.9326,-1.5062,0.7461,-0.9754,-0.8348,1.4314,-0.716
-0.9442,1.2703,-0.6637,-0.8583,1.0873,-0.6027,-0.939,1.1258,-0.6811,-0.8455,1.2903,-0.6733
-0.9192,1.1228,-0.6224,-0.696,0.9858,-0.4882,-0.8535,0.9954,-0.5883,-0.81,1.1405,-0.627
-0.8737,0.9763,-0.5636,-0.5981,0.9039,-0.385,-0.7377,0.8623,-0.4942,-0.6814,1.0148,-0.5468
-0.663,0.8733,-0.4739,-0.5033,0.8657,-0.2678,-0.5905,0.8221,-0.3618,-0.6334,0.9093,-0.4817
-0.5032,0.8352,-0.3744,-0.3236,0.833,-0.117,-0.3377,0.8189,-0.1784,-0.4629,0.8292,-0.354
-0.4094,0.7988,-0.2654,-0.0647,0.8527,0.0644,-0.1315,0.7464,-0.0281,-0.2749,0.844,-0.2024
-0.3148,0.8,-0.1505,0.2018,0.8294,0.236,0.1619,0.5658,0.1549,-0.0965,0.8839,-0.0363
