CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.322600,0.876450,0.150530,0.141120,0.859320,0.023100,-0.207760,0.614250,-0.180220,-0.224900,0.833710,-0.224110
0.438520,0.863420,0.275570,0.326220,0.839730,0.197990,0.132630,0.796150,0.018580,0.035630,0.881840,-0.055160
0.549240,0.893000,0.392510,0.517620,0.844580,0.356650,0.320260,0.851200,0.170880,0.281470,0.851320,0.124630
0.702000,0.947590,0.499350,0.674470,0.925960,0.483340,0.643710,0.876240,0.372320,0.463020,0.863620,0.274560
0.916480,1.049770,0.595440,0.734230,1.018790,0.552450,0.814640,0.937420,0.523740,0.584600,0.901110,0.401140
0.971860,1.183520,0.647390,0.888020,1.152420,0.636190,0.926130,1.039220,0.618310,0.705440,0.990270,0.512080
1.016050,1.308260,0.686610,0.902680,1.290240,0.677130,0.986780,1.150860,0.689790,0.857320,1.095130,0.618430
0.975350,1.461720,0.707660,0.923590,1.461590,0.726530,1.441780,0.860280,0.944030,1.331290,0.942620,0.871480
0.953110,1.601990,0.726850,0.899580,1.607490,0.759070,1.329720,0.549490,0.851960,1.271160,0.661430,0.830460
0.922810,1.831660,0.754170,0.852990,1.719630,0.769940,1.277650,0.617920,0.748610,1.115130,0.654140,0.695400
0.812630,1.856770,0.709330,0.774440,1.788600,0.750380,1.304320,1.116980,0.832140,1.261740,1.134740,0.810930
0.718120,1.931800,0.685440,0.678350,1.859710,0.729000,1.092340,1.621540,0.836030,0.997080,1.748230,0.816680
0.607040,1.976250,0.654810,0.553210,1.890030,0.700530,1.016400,2.034840,0.859480,0.819030,2.127110,0.818900
0.490160,2.043580,0.631710,0.456360,1.997960,0.692880,0.821240,2.030490,0.788880,0.673540,2.197000,0.792210
0.397360,2.209310,0.634690,0.380630,2.061870,0.658320,0.685360,2.092090,0.754530,0.544890,2.233670,0.764620
0.277410,2.203150,0.585790,0.292260,2.170660,0.638640,0.569550,2.080930,0.703540,0.415050,2.343490,0.745060
0.152910,2.224080,0.546690,0.187590,2.182900,0.590870,0.461310,2.169790,0.669830,0.072540,2.369440,0.728790
0.087460,2.323780,0.523460,0.081150,2.226520,0.556520,0.350750,2.245730,0.637690,-0.169950,1.962820,0.597690
0.015610,2.391350,0.490030,0.012580,2.277480,0.521910,0.265350,2.319510,0.602570,-0.165120,1.681530,0.450180
-0.028170,2.341310,0.431860,-0.048080,2.208910,0.458670,0.159870,2.312740,0.546040,-0.163740,1.986280,0.469340
-0.080410,2.287760,0.374560,-0.092370,2.235330,0.422800,0.063150,2.334430,0.494500,-0.203910,2.403750,0.516710
-0.113120,2.197190,0.313170,-0.126880,2.276310,0.376750,-0.007520,2.255670,0.423450,-0.153540,2.488130,0.486370
-0.131220,2.160740,0.267710,-0.162720,2.232860,0.327520,-0.074940,2.224490,0.359420,-0.186610,2.382110,0.415290
-0.133330,2.074110,0.216780,-0.188660,2.112280,0.270030,-0.157870,2.161640,0.303440,-0.236600,2.330520,0.355760
-0.282830,1.942370,0.190990,-0.180200,1.966710,0.203370,-0.192030,2.023390,0.231510,-0.364630,2.272520,0.310230
-0.353850,1.523730,0.102200,-0.162130,1.799700,0.159760,-0.203590,1.980290,0.191050,-0.509970,1.855680,0.216040
-0.307800,1.102260,0.037090,-0.136860,1.735520,0.121710,-0.209790,1.899560,0.150720,-0.503970,1.484210,0.136000
-0.072430,0.992040,-0.003870,-0.118820,1.633010,0.088890,-0.211570,1.865520,0.126530,-0.286630,1.283760,0.073080
0.030260,1.304530,-0.002010,-0.074570,1.470560,0.062640,-0.172040,1.675180,0.087870,-0.209390,1.471540,0.059710
0.141170,1.425330,0.005350,-0.018730,1.354520,0.040880,-0.125940,1.552020,0.049900,-0.243440,1.716460,0.094300
0.280050,1.257950,-0.036290,0.069680,1.158510,0.017020,-0.073540,1.449330,0.023430,-0.184150,1.536110,0.065650
0.542790,1.095810,-0.119690,0.215160,1.012290,-0.029760,0.054540,1.325600,-0.012900,-0.094160,1.378880,0.032780
0.552210,0.982890,-0.091240,0.335520,0.903280,-0.072140,0.348400,1.109440,-0.116790,0.034270,1.203870,-0.015500
0.388190,1.035600,-0.042450,0.321250,0.884030,-0.042630,0.548820,0.975310,-0.134990,0.312530,1.016680,-0.077440
0.168100,0.919350,-0.017690,0.246080,0.913160,-0.001180,0.477480,0.971380,-0.083100,0.464260,0.943970,-0.083760
0.019460,0.675000,-0.001020,0.110310,0.935320,0.009190,0.282130,1.063480,-0.048060,0.308420,0.987230,-0.044690
-0.016510,0.671600,0.022660,0.005070,0.972370,0.021540,0.238760,1.085430,-0.041630,0.230620,1.035810,-0.022320
-0.019500,0.675000,0.001000,-0.308400,0.987200,0.044700,-0.282100,1.063500,0.048100,-0.110300,0.935300,-0.009200
-0.168100,0.919400,0.017700,-0.464300,0.944000,0.083800,-0.477500,0.971400,0.083100,-0.246100,0.913200,0.001200
-0.388200,1.035600,0.042400,-0.312500,1.016700,0.077400,-0.548800,0.975300,0.135000,-0.321300,0.884000,0.042600
-0.552200,0.982900,0.091200,-0.034300,1.203900,0.015500,-0.348400,1.109400,0.116800,-0.335500,0.903300,0.072100
-0.542800,1.095800,0.119700,0.094200,1.378900,-0.032800,-0.054500,1.325600,0.012900,-0.215200,1.012300,0.029800
-0.280000,1.257900,0.036300,0.184100,1.536100,-0.065700,0.073500,1.449300,-0.023400,-0.069700,1.158500,-0.017000
-0.141200,1.425300,-0.005400,0.243400,1.716500,-0.094300,0.125900,1.552000,-0.049900,0.018700,1.354500,-0.040900
-0.030300,1.304500,0.002000,0.209400,1.471500,-0.059700,0.172000,1.675200,-0.087900,0.074600,1.470600,-0.062600
0.072400,0.992000,0.003900,0.286600,1.283800,-0.073100,0.211600,1.865500,-0.126500,0.118800,1.633000,-0.088900
0.307800,1.102300,-0.037100,0.504000,1.484200,-0.136000,0.209800,1.899600,-0.150700,0.136900,1.735500,-0.121700
0.353800,1.523700,-0.102200,0.510000,1.855700,-0.216000,0.203600,1.980300,-0.191000,0.162100,1.799700,-0.159800
0.282800,1.942400,-0.191000,0.364600,2.272500,-0.310200,0.192000,2.023400,-0.231500,0.180200,1.966700,-0.203400
0.133300,2.074100,-0.216800,0.236600,2.330500,-0.355800,0.157900,2.161600,-0.303400,0.188700,2.112300,-0.270000
0.131200,2.160700,-0.267700,0.186600,2.382100,-0.415300,0.074900,2.224500,-0.359400,0.162700,2.232900,-0.327500
0.113100,2.197200,-0.313200,0.153500,2.488100,-0.486400,0.007500,2.255700,-0.423400,0.126900,2.276300,-0.376700
0.080400,2.287800,-0.374600,0.203900,2.403800,-0.516700,-0.063100,2.334400,-0.494500,0.092400,2.235300,-0.422800
0.028200,2.341300,-0.431900,0.163700,1.986300,-0.469300,-0.159900,2.312700,-0.546000,0.048100,2.208900,-0.458700
-0.015600,2.391400,-0.490000,0.165100,1.681500,-0.450200,-0.265300,2.319500,-0.602600,-0.012600,2.277500,-0.521900
-0.087500,2.323800,-0.523500,0.169900,1.962800,-0.597700,-0.350700,2.245700,-0.637700,-0.081100,2.226500,-0.556500
-0.152900,2.224100,-0.546700,-0.072500,2.369400,-0.728800,-0.461300,2.169800,-0.669800,-0.187600,2.182900,-0.590900
-0.277400,2.203100,-0.585800,-0.415000,2.343500,-0.745100,-0.569500,2.080900,-0.703500,-0.292300,2.170700,-0.638600
-0.397400,2.209300,-0.634700,-0.544900,2.233700,-0.764600,-0.685400,2.092100,-0.754500,-0.380600,2.061900,-0.658300
-0.490200,2.043600,-0.631700,-0.673500,2.197000,-0.792200,-0.821200,2.030500,-0.788900,-0.456400,1.998000,-0.692900
-0.607000,1.976300,-0.654800,-0.819000,2.127100,-0.818900,-1.016400,2.034800,-0.859500,-0.553200,1.890000,-0.700500
-0.718100,1.931800,-0.685400,-0.997100,1.748200,-0.816700,-1.092300,1.621500,-0.836000,-0.678300,1.859700,-0.729000
-0.812600,1.856800,-0.709300,-1.261700,1.134700,-0.810900,-1.304300,1.117000,-0.832100,-0.774400,1.788600,-0.750400
-0.922800,1.831700,-0.754200,-1.115100,0.654100,-0.695400,-1.277600,0.617900,-0.748600,-0.853000,1.719600,-0.769900
-0.953100,1.602000,-0.726900,-1.271200,0.661400,-0.830500,-1.329700,0.549500,-0.852000,-0.899600,1.607500,-0.759100
-0.975300,1.461700,-0.707700,-1.331300,0.942600,-0.871500,-1.441800,0.860300,-0.944000,-0.923600,1.461600,-0.726500
-1.016000,1.308300,-0.686600,-0.857300,1.095100,-0.618400,-0.986800,1.150900,-0.689800,-0.902700,1.290200,-0.677100
-0.971900,1.183500,-0.647400,-0.705400,0.990300,-0.512100,-0.926100,1.039200,-0.618300,-0.888000,1.152400,-0.636200
-0.916500,1.049800,-0.595400,-0.584600,0.901100,-0.401100,-0.814600,0.937400,-0.523700,-0.734200,1.018800,-0.552400
-0.702000,0.947600,-0.499400,-0.463000,0.863600,-0.274600,-0.643700,0.876200,-0.372300,-0.674500,0.926000,-0.483300
-0.549200,0.893000,-0.392500,-0.281500,0.851300,-0.124600,-0.320300,0.851200,-0.170900,-0.517600,0.844600,-0.356700
-0.438500,0.863400,-0.275600,-0.035600,0.881800,0.055200,-0.132600,0.796100,-0.018600,-0.326200,0.839700,-0.198000
-0.322600,0.876500,-0.150500,0.224900,0.833700,0.224100,0.207800,0.614300,0.180200,-0.141100,0.859300,-0.023100
