CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.229160,2.818200,0.060270,0.308210,3.153400,-0.039200,0.388580,1.945600,0.134910,0.499640,2.784700,-0.114920
0.150530,2.735600,0.084280,0.208860,3.098200,-0.015940,0.444970,2.293100,0.191030,0.417820,2.795000,-0.086750
0.091010,2.573000,0.107850,0.126680,3.003300,0.010850,0.342310,2.750800,0.218270,0.352170,2.886200,-0.054140
0.016690,2.464700,0.122530,0.054800,2.889400,0.039290,0.172300,2.939200,0.221550,0.272670,2.806400,-0.021680
-0.104650,2.326500,0.116030,-0.021560,2.851100,0.061620,0.039530,2.989400,0.234400,0.197830,2.854000,0.012280
-0.304940,2.104600,0.056050,-0.124020,2.620800,0.066240,-0.190410,2.851600,0.186120,-0.011530,2.843900,-0.015570
-0.543470,1.770300,-0.079550,-0.192450,2.398400,0.073600,-0.663630,2.470400,-0.014380,-0.399070,2.521400,-0.121820
-0.655760,1.761700,-0.116260,-0.305660,2.174500,0.054330,-0.980260,2.006800,-0.196770,-0.788610,2.073300,-0.273730
-0.241490,1.760000,0.169430,-0.581740,1.884800,-0.080700,-0.803680,1.507100,-0.204260,-0.941080,1.606000,-0.384360
0.542560,1.784300,0.750430,-0.726200,1.763900,-0.133080,-0.268500,1.193200,0.003490,-0.635120,1.304700,-0.312850
0.776690,1.828400,0.978030,-0.378850,1.868700,0.136860,0.304430,1.239700,0.262780,-0.381040,1.475000,-0.193410
0.893820,1.879400,1.123200,0.004630,1.867500,0.382240,0.707900,1.538700,0.637100,-0.253840,1.867400,0.036440
0.952990,1.919900,1.213200,0.313460,1.886500,0.617370,0.622660,1.974700,0.906110,-0.159170,1.930300,0.269620
0.997290,1.946500,1.248900,0.570220,1.987000,0.854310,0.652820,2.105000,1.066400,0.111890,1.895400,0.483270
0.991430,1.987200,1.257600,0.832910,2.068700,1.064500,0.780370,2.137300,1.205700,0.412370,1.973800,0.758930
1.004700,2.040600,1.259700,1.000400,2.072400,1.184200,0.916500,2.190300,1.328900,0.596320,2.034400,0.979480
1.089000,2.035300,1.197000,1.003200,2.024300,1.212300,0.975690,2.239000,1.390900,1.191900,1.875800,1.197500
