CL1,CD1,CM1
0.306200,0.628020,0.137640
0.532900,0.650760,0.317600
0.433400,0.821270,0.341650
0.493650,0.886520,0.426880
0.618870,0.958030,0.518150
0.632780,1.046800,0.564500
0.681430,1.183800,0.627880
0.699900,1.308800,0.667100
0.758540,1.421600,0.706010
0.721080,1.496000,0.697980
0.641520,1.623900,0.699020
0.524290,1.694000,0.673080
0.408450,1.776500,0.655690
0.302140,1.849700,0.637010
0.208530,1.954700,0.629400
0.119370,2.017700,0.603400
0.021010,2.044600,0.565400
-0.067680,2.074300,0.529260
-0.134920,2.123800,0.499910
-0.209390,2.059900,0.435920
-0.270260,2.068900,0.397000
-0.316190,2.014100,0.346560
-0.356210,1.921300,0.288890
-0.335340,1.772700,0.218840
-0.323740,1.714000,0.176550
-0.326150,1.648400,0.142360
-0.267510,1.542500,0.102510
-0.176150,1.420400,0.057770
-0.064890,1.268600,0.017680
0.100530,1.081600,-0.037110
0.316240,0.930940,-0.092000
0.474620,0.837410,-0.116680
0.449810,0.837940,-0.101500
0.414280,0.859510,-0.064440
0.323370,0.876370,-0.035290
0.155380,0.875070,-0.013710
-0.119060,0.917400,0.010020
-0.155400,0.875100,0.013700
-0.323400,0.876400,0.035300
-0.414300,0.859500,0.064400
-0.449800,0.837900,0.101500
-0.474600,0.837400,0.116700
-0.316200,0.930900,0.092000
-0.100500,1.081600,0.037100
0.064900,1.268600,-0.017700
0.176200,1.420400,-0.057800
0.267500,1.542500,-0.102500
0.326100,1.648400,-0.142400
0.323700,1.714000,-0.176600
0.335300,1.772700,-0.218800
0.356200,1.921200,-0.288900
0.316200,2.014100,-0.346600
0.270300,2.068800,-0.397000
0.209400,2.059800,-0.435900
0.134900,2.123800,-0.499900
0.067700,2.074300,-0.529300
-0.021000,2.044600,-0.565400
-0.119400,2.017700,-0.603400
-0.208500,1.954700,-0.629400
-0.302100,1.849700,-0.637000
-0.408400,1.776500,-0.655700
-0.524300,1.694000,-0.673100
-0.641500,1.623900,-0.699000
-0.721100,1.496000,-0.698000
-0.758500,1.421600,-0.706000
-0.699900,1.308800,-0.667100
-0.681400,1.183800,-0.627900
-0.632800,1.046800,-0.564500
-0.618900,0.958000,-0.518100
-0.493700,0.886500,-0.426900
-0.433400,0.821300,-0.341600
-0.532900,0.650800,-0.317600
-0.306200,0.628000,-0.137600
