CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.461760,0.589630,0.396690,0.706310,0.469630,0.564670,-0.907780,0.627290,-1.094000,-0.343100,0.627840,-0.401680
1.662200,0.400620,1.545300,1.575500,0.401220,1.406400,-0.342710,0.644090,-0.448980,0.345380,0.575100,0.329080
2.333200,0.375620,2.343000,1.711200,0.551350,1.674800,0.247550,0.696550,0.211730,1.221000,0.460740,1.242800
1.446900,0.905780,1.564100,1.611600,0.792740,1.690100,1.249400,0.492290,1.230600,2.015400,0.414700,2.176900
1.314900,1.162900,1.497500,1.353500,1.025000,1.524900,1.960800,0.463400,2.074900,1.479700,0.846580,1.662800
1.456300,1.403800,1.716300,1.386100,1.215600,1.608400,1.425700,0.880480,1.617200,1.433900,1.110200,1.671400
1.493000,1.597000,1.827300,1.468500,1.478400,1.741800,1.730900,1.046300,1.932200,1.626200,1.372700,1.943400
1.465900,1.792900,1.902700,1.519000,1.826100,1.905600,2.435000,0.604910,2.687400,2.078300,1.201400,2.437600
1.475000,2.077000,2.053700,1.555700,2.199300,2.079700,1.826000,0.588260,2.025300,1.595200,0.993520,1.939500
1.369600,2.229300,2.049200,1.492900,2.488700,2.169000,1.431800,0.740410,1.544100,1.357000,0.986570,1.588500
1.234800,2.395900,2.047200,1.349400,2.659300,2.162200,1.556600,1.237900,1.817400,1.451300,1.577300,1.897000
1.089400,2.534100,2.015800,1.165400,2.788400,2.119700,1.412700,1.759000,1.935800,1.317600,2.158500,2.069400
0.960360,2.824100,2.114800,0.980310,2.887200,2.061200,1.309400,2.414300,2.167700,1.182400,2.620400,2.186800
0.776210,2.967000,2.102700,0.794190,2.976500,2.009600,1.122700,2.868800,2.281600,1.041900,2.970800,2.263300
0.575120,3.005900,2.020200,0.607380,3.137900,2.006300,0.875540,2.890300,2.168600,0.853920,3.226900,2.311300
0.388910,3.222800,2.031400,0.413840,3.391100,2.047000,0.690270,2.964100,2.098200,0.485000,3.271200,2.245400
0.168200,3.161900,1.889900,0.204480,3.444600,1.975100,0.487870,3.116100,2.084300,0.131540,2.886400,1.930900
-0.036410,3.291000,1.853600,-0.003570,3.549200,1.918600,0.300270,3.363400,2.112400,-0.102620,2.225500,1.463000
-0.214410,3.219600,1.682800,-0.196440,3.473900,1.767200,0.102460,3.438600,2.027800,-0.022990,1.983700,1.129600
-0.379700,3.156600,1.529500,-0.384850,3.364000,1.613700,-0.107110,3.424300,1.902500,-0.126350,2.585100,1.340200
-0.528990,3.000100,1.350400,-0.533560,3.258900,1.467000,-0.294720,3.351500,1.744200,-0.331270,3.095200,1.542800
-0.678480,2.998200,1.277300,-0.662210,3.129800,1.310300,-0.466670,3.353300,1.637200,-0.502940,3.376300,1.563700
-0.804890,3.007900,1.194600,-0.764900,2.958100,1.139100,-0.624670,3.246500,1.478400,-0.639850,3.257300,1.397000
-0.957440,2.908900,1.139700,-0.834400,2.801000,0.983960,-0.761980,3.184000,1.360700,-0.813380,3.132500,1.272900
-1.091700,2.480500,0.894820,-0.834830,2.584600,0.817540,-0.864940,3.025700,1.189400,-0.911740,2.623100,1.000300
-1.060800,1.939800,0.648600,-0.826040,2.428300,0.692610,-0.895500,2.713500,0.965410,-0.941520,2.184900,0.791830
-0.900360,1.417300,0.445270,-0.802690,2.266900,0.566180,-0.940890,2.633700,0.861690,-0.878140,1.756000,0.603860
-0.597970,1.226900,0.288570,-0.750740,2.080000,0.454300,-0.919520,2.382400,0.688490,-0.613260,1.550500,0.430430
-0.539760,1.519900,0.265610,-0.580180,1.782500,0.302040,-0.892820,2.203400,0.579250,-0.564180,1.796300,0.403760
-0.580170,1.677400,0.306470,-0.385210,1.485600,0.169330,-0.794240,1.943600,0.430950,-0.632940,1.977800,0.440400
-0.346340,1.404600,0.167290,-0.188690,1.265000,0.064860,-0.665920,1.702700,0.305250,-0.465310,1.717000,0.295540
-0.021840,1.090900,-0.003930,0.119130,1.014600,-0.105680,-0.449160,1.436000,0.189160,-0.234700,1.404700,0.155810
0.493590,0.838680,-0.261500,0.458900,0.800040,-0.272920,-0.251990,1.258800,0.092610,0.078470,1.097500,-0.035130
0.565410,0.740500,-0.224830,0.546170,0.704010,-0.255880,0.059470,1.057100,-0.050760,0.481090,0.847770,-0.225350
0.177120,0.641920,-0.070090,0.367650,0.665280,-0.140560,0.431370,0.817450,-0.233380,0.477890,0.762120,-0.154830
-0.001410,0.402520,-0.055670,0.093990,0.599240,-0.035250,0.589760,0.706020,-0.228060,0.274860,0.654590,-0.043470
-0.013010,0.399870,0.121310,-0.178420,0.601540,0.059200,0.490870,0.644780,-0.124890,0.096630,0.561960,0.011850
0.001400,0.402500,0.055700,-0.275000,0.654600,0.043500,-0.590000,0.706000,0.228000,-0.094000,0.599200,0.035200
-0.177100,0.641900,0.070100,-0.478000,0.762100,0.155000,-0.431000,0.817500,0.233000,-0.367600,0.665300,0.140600
-0.565400,0.740500,0.224800,-0.481000,0.847800,0.225000,-0.059500,1.057100,0.050800,-0.546200,0.704000,0.255900
-0.493600,0.838700,0.261500,-0.078500,1.097500,0.035100,0.252000,1.258800,-0.092600,-0.458900,0.800000,0.272900
0.021800,1.090900,0.003900,0.235000,1.404700,-0.156000,0.449000,1.436000,-0.189000,-0.119100,1.014600,0.105700
0.346300,1.404600,-0.167300,0.465000,1.717000,-0.296000,0.666000,1.702700,-0.305000,0.188700,1.265000,-0.064900
0.580200,1.677400,-0.306500,0.633000,1.977800,-0.440000,0.794000,1.943600,-0.431000,0.385200,1.485600,-0.169300
0.539800,1.519900,-0.265600,0.564000,1.796300,-0.404000,0.893000,2.203300,-0.579000,0.580200,1.782500,-0.302000
0.598000,1.226900,-0.288600,0.613000,1.550500,-0.430000,0.920000,2.382400,-0.689000,0.750700,2.080000,-0.454300
0.900400,1.417300,-0.445300,0.878000,1.756000,-0.604000,0.941000,2.633700,-0.862000,0.802700,2.266900,-0.566200
1.060800,1.939800,-0.648600,0.942000,2.184900,-0.792000,0.896000,2.713500,-0.965000,0.826000,2.428300,-0.692600
1.091700,2.480500,-0.894800,0.912000,2.623100,-1.000000,0.865000,3.025700,-1.190000,0.834800,2.584600,-0.817500
0.957400,2.908900,-1.139700,0.813000,3.132500,-1.270000,0.762000,3.184000,-1.360000,0.834400,2.800900,-0.984000
0.804900,3.007900,-1.194600,0.640000,3.257300,-1.400000,0.625000,3.246500,-1.480000,0.764900,2.958100,-1.139100
0.678500,2.998200,-1.277300,0.503000,3.376300,-1.560000,0.467000,3.353300,-1.640000,0.662200,3.129800,-1.310300
0.529000,3.000100,-1.350400,0.331000,3.095200,-1.540000,0.295000,3.351500,-1.740000,0.533600,3.258800,-1.467000
0.379700,3.156600,-1.529500,0.126000,2.585100,-1.340000,0.107000,3.424300,-1.900000,0.384800,3.363900,-1.613700
0.214400,3.219600,-1.682700,0.023000,1.983700,-1.130000,-0.103000,3.438600,-2.030000,0.196400,3.473900,-1.767200
0.036400,3.291000,-1.853600,0.103000,2.225500,-1.460000,-0.300000,3.363400,-2.110000,0.003600,3.549200,-1.918600
-0.168200,3.161900,-1.889900,-0.132000,2.886400,-1.930000,-0.488000,3.116100,-2.080000,-0.204500,3.444600,-1.975100
-0.388900,3.222800,-2.031400,-0.485000,3.271200,-2.250000,-0.690000,2.964100,-2.100000,-0.413800,3.391100,-2.047000
-0.575100,3.005900,-2.020200,-0.854000,3.226900,-2.310000,-0.876000,2.890300,-2.170000,-0.607400,3.137800,-2.006300
-0.776200,2.967000,-2.102700,-1.040000,2.970800,-2.260000,-1.120000,2.868800,-2.280000,-0.794200,2.976500,-2.009600
-0.960400,2.824100,-2.114800,-1.180000,2.620400,-2.190000,-1.310000,2.414300,-2.170000,-0.980300,2.887200,-2.061200
-1.089400,2.534100,-2.015800,-1.320000,2.158500,-2.070000,-1.410000,1.759000,-1.940000,-1.165400,2.788400,-2.119700
-1.234800,2.395900,-2.047200,-1.450000,1.577300,-1.900000,-1.560000,1.237900,-1.820000,-1.349400,2.659300,-2.162200
-1.369600,2.229300,-2.049200,-1.360000,0.986600,-1.590000,-1.430000,0.740400,-1.540000,-1.492900,2.488700,-2.169000
-1.475000,2.077000,-2.053700,-1.600000,0.993500,-1.940000,-1.830000,0.588300,-2.030000,-1.555700,2.199300,-2.079700
-1.465900,1.792900,-1.902700,-2.080000,1.201400,-2.440000,-2.440000,0.604900,-2.690000,-1.519000,1.826100,-1.905600
-1.493000,1.597000,-1.827300,-1.630000,1.372700,-1.940000,-1.730000,1.046300,-1.930000,-1.468500,1.478400,-1.741800
-1.456300,1.403800,-1.716300,-1.430000,1.110200,-1.670000,-1.430000,0.880500,-1.620000,-1.386100,1.215500,-1.608400
-1.314900,1.162900,-1.497500,-1.480000,0.846600,-1.660000,-1.960000,0.463400,-2.070000,-1.353500,1.025000,-1.524900
-1.446900,0.905800,-1.564100,-2.020000,0.414700,-2.180000,-1.250000,0.492300,-1.230000,-1.611600,0.792700,-1.690100
-2.333200,0.375600,-2.343000,-1.220000,0.460700,-1.240000,-0.248000,0.696500,-0.212000,-1.711200,0.551300,-1.674800
-1.662200,0.400600,-1.545300,-0.345000,0.575100,-0.329000,0.343000,0.644100,0.449000,-1.575500,0.401200,-1.406400
-0.461800,0.589600,-0.396700,0.343000,0.627800,0.402000,0.908000,0.627300,1.090000,-0.706300,0.469600,-0.564700
