CL1,CD1,CM1,CL2,CD2,CM2,CL3,CD3,CM3,CL4,CD4,CM4
0.366670,0.678390,0.187560,0.091530,0.660010,0.019870,-0.172000,0.574000,-0.156000,-0.290260,0.736740,-0.266870
0.406930,0.778080,0.280410,0.279290,0.723940,0.191460,0.105000,0.681000,0.025900,-0.045200,0.690570,-0.104570
0.495990,0.820870,0.383350,0.503570,0.736270,0.360430,0.274000,0.729000,0.172000,0.316600,0.675380,0.111180
0.625330,0.856750,0.475940,0.732160,0.757950,0.534700,0.566000,0.730000,0.363000,0.475810,0.767980,0.254580
0.748680,0.938540,0.541470,0.601990,0.895130,0.513400,0.780000,0.794000,0.531000,0.557040,0.832770,0.366620
0.795420,1.037800,0.597210,0.681660,1.006900,0.580230,0.776000,0.881000,0.592000,0.677810,0.893820,0.475790
0.791700,1.163290,0.631790,0.638270,1.128000,0.594120,0.908000,0.962000,0.683000,0.863550,0.940600,0.596070
0.787410,1.362770,0.677580,0.624080,1.242900,0.635490,1.590000,0.619000,1.010000,1.505300,0.713980,0.939660
0.737690,1.456380,0.680060,0.612200,1.371300,0.669990,1.270000,0.475000,0.813000,1.303200,0.579360,0.834710
0.668390,1.589660,0.677580,0.586770,1.498300,0.684420,1.280000,0.517000,0.738000,1.135500,0.567040,0.678550
0.580950,1.636400,0.649760,0.522820,1.596500,0.685040,1.370000,0.935000,0.819000,1.383900,0.865670,0.806280
0.499840,1.766550,0.650030,0.450970,1.682100,0.681480,1.030000,1.510000,0.812000,1.041500,1.499700,0.795750
0.391150,1.841050,0.630600,0.353960,1.737600,0.664320,0.712000,1.830000,0.784000,0.602740,1.826500,0.734670
0.299900,1.939840,0.618890,0.251690,1.805700,0.649510,0.554000,1.850000,0.725000,0.420500,1.864400,0.691160
0.197320,1.988140,0.592220,0.161230,1.872900,0.625880,0.464000,1.880000,0.689000,0.325900,1.935900,0.676510
0.099100,2.032630,0.562560,0.064670,1.900100,0.588330,0.344000,1.930000,0.667000,0.239600,2.003400,0.653670
0.028020,2.162250,0.552020,-0.009900,2.021000,0.577150,0.208000,2.020000,0.645000,0.088720,2.099400,0.662260
-0.042570,2.172140,0.508070,-0.080290,2.033600,0.533080,0.115000,2.110000,0.611000,-0.136780,1.711300,0.516400
-0.097400,2.196640,0.467740,-0.164620,2.123400,0.512430,0.026400,2.130000,0.560000,-0.109880,1.405500,0.368370
