CL1,CD1,CM1
0.496420,3.431100,0.048140
0.416190,3.492900,0.075580
0.321640,3.411600,0.101690
0.194280,3.237600,0.112310
0.048040,2.686000,0.099280
-0.097850,2.646300,0.092650
-0.229050,2.391700,0.075220
-0.347060,1.975900,0.026550
-0.722990,1.742800,-0.179220
-0.434090,1.779500,0.023690
-0.036040,1.701700,0.266310
0.324280,1.756400,0.536430
0.581990,1.754100,0.750270
0.746170,1.769900,0.921830
0.857650,1.797900,1.059000
1.050300,1.942500,1.213800
1.058900,1.991100,1.269400
1.072900,1.949100,1.250800
1.133400,1.931300,1.226300
1.193300,1.905100,1.164800
1.568100,1.602200,0.983560
1.654100,1.533000,0.884810
1.571600,1.488200,0.768580
0.924990,1.983100,0.893160
0.446760,2.467100,1.066400
0.153560,2.609100,1.078300
-0.087040,2.763100,1.096200
-0.302340,2.735000,1.050600
-0.490980,2.827400,1.053200
-0.702800,2.780200,1.024000
-0.938720,2.644100,0.996460
-1.124800,2.477900,0.945780
-0.996500,2.533800,0.812980
-0.640080,2.444200,0.597880
-0.239350,2.328800,0.359120
0.095350,1.908900,0.118410
0.438930,1.823500,-0.135000
-0.095300,1.908900,-0.118400
0.239400,2.328800,-0.359100
0.640100,2.444200,-0.597900
0.996500,2.533800,-0.813000
1.124800,2.477900,-0.945800
0.938700,2.644100,-0.996500
0.702800,2.780200,-1.024000
0.491000,2.827400,-1.053200
0.302300,2.735000,-1.050600
0.087000,2.763100,-1.096100
-0.153600,2.609100,-1.078300
-0.446800,2.467100,-1.066400
-0.925000,1.983000,-0.893200
-1.571600,1.488200,-0.768600
-1.654100,1.533000,-0.884800
-1.568100,1.602200,-0.983600
-1.193300,1.905100,-1.164700
-1.133400,1.931200,-1.226300
-1.072900,1.949100,-1.250800
-1.058900,1.991100,-1.269400
-1.050300,1.942500,-1.213800
-0.857700,1.797900,-1.059000
-0.746200,1.769900,-0.921800
-0.582000,1.754100,-0.750300
-0.324300,1.756400,-0.536400
0.036000,1.701700,-0.266300
0.434100,1.779500,-0.023700
0.723000,1.742800,0.179200
0.347100,1.975900,-0.026600
0.229000,2.391700,-0.075200
0.097800,2.646300,-0.092700
-0.048000,2.686000,-0.099300
-0.194300,3.237600,-0.112300
-0.321600,3.411600,-0.101700
-0.416200,3.492900,-0.075600
-0.496400,3.431000,-0.048100
