CL1,CD1,CM1
0.543110,3.681100,0.059200
0.484940,3.697400,0.098650
0.372710,3.711200,0.128230
0.244110,3.637500,0.141960
0.133410,3.548100,0.164210
-0.016690,3.466300,0.163660
-0.140480,3.255400,0.169990
-0.282120,2.910100,0.141260
-0.426110,2.474700,0.059990
-0.746420,2.162200,-0.172540
-0.630840,2.130700,-0.054300
-0.128150,2.083800,0.329170
0.410790,2.065000,0.716990
0.776980,2.027900,1.043200
1.134500,2.139400,1.417000
1.470800,2.194100,1.656300
1.581500,2.249600,1.793700
1.470400,2.212900,1.781600
1.427600,2.246600,1.799500
1.411200,2.213700,1.742700
1.836600,2.137600,1.670000
2.085700,1.734600,1.389300
2.034300,1.664900,1.240600
1.429400,2.130800,1.354900
0.961220,2.884300,1.704200
0.562290,3.112400,1.723100
0.236160,3.115900,1.663900
0.031390,3.144100,1.599900
-0.240080,3.166300,1.564800
-0.479480,3.180900,1.542300
-0.797340,3.060300,1.527100
-1.047600,2.820400,1.433000
-0.885550,2.369500,1.085800
-0.526040,2.346000,0.771300
-0.173400,2.415900,0.472430
0.127400,2.410400,0.184550
0.361940,2.360800,-0.111060
-0.127400,2.410400,-0.184500
0.173400,2.415900,-0.472400
0.526000,2.346000,-0.771300
0.885600,2.369500,-1.085800
1.047600,2.820300,-1.433000
0.797300,3.060300,-1.527100
0.479500,3.180900,-1.542300
0.240100,3.166200,-1.564800
-0.031400,3.144100,-1.599900
-0.236200,3.115900,-1.663900
-0.562300,3.112400,-1.723100
-0.961200,2.884300,-1.704200
-1.429400,2.130800,-1.354900
-2.034300,1.664900,-1.240600
-2.085600,1.734600,-1.389300
-1.836500,2.137600,-1.670000
-1.411200,2.213600,-1.742700
-1.427600,2.246600,-1.799500
-1.470400,2.212900,-1.781600
-1.581500,2.249600,-1.793700
-1.470800,2.194100,-1.656300
-1.134500,2.139300,-1.417000
-0.777000,2.027900,-1.043200
-0.410800,2.065000,-0.717000
0.128100,2.083800,-0.329200
0.630800,2.130700,0.054300
0.746400,2.162200,0.172500
0.426100,2.474700,-0.060000
0.282100,2.910100,-0.141300
0.140500,3.255400,-0.170000
0.016700,3.466300,-0.163700
-0.133400,3.548000,-0.164200
-0.244100,3.637500,-0.142000
-0.372700,3.711100,-0.128200
-0.484900,3.697400,-0.098600
-0.543100,3.681100,-0.059200
