CL1,CD1,CM1
0.127800,0.631810,0.073210
1.139300,0.431570,1.054200
1.947200,0.344780,1.954300
1.952500,0.592720,1.992200
1.386800,1.014400,1.508300
1.458700,1.209600,1.642300
1.589200,1.483500,1.852500
1.586000,1.748800,1.969200
1.516300,1.958100,2.038400
1.437400,2.190400,2.096800
1.309300,2.376900,2.116100
1.158900,2.519200,2.114400
0.980590,2.621900,2.073300
0.819780,2.749600,2.041100
0.655000,2.827600,1.979100
0.469910,2.848500,1.878600
0.285870,2.900200,1.793900
0.109740,2.985200,1.736300
-0.064340,2.896200,1.588200
-0.214210,2.694200,1.374600
-0.368410,2.691000,1.271100
-0.516450,2.652600,1.173200
-0.652530,2.555900,1.049100
-0.752340,2.462300,0.926020
-0.807200,2.326900,0.799140
-0.806560,2.139000,0.661340
-0.814480,2.033100,0.574830
-0.773340,1.886200,0.478540
-0.646340,1.675000,0.353860
-0.482340,1.467000,0.244760
-0.288940,1.258200,0.143320
-0.113240,1.103200,0.053790
0.372620,0.846660,-0.201710
0.646280,0.690620,-0.265960
0.502070,0.619300,-0.168640
0.147170,0.526490,-0.077600
-0.120410,0.606560,-0.004550
-0.147200,0.526500,0.077600
-0.502100,0.619300,0.168600
-0.646300,0.690600,0.266000
-0.372600,0.846700,0.201700
0.113200,1.103200,-0.053800
0.288900,1.258200,-0.143300
0.482300,1.467000,-0.244800
0.646300,1.675000,-0.353900
0.773300,1.886200,-0.478500
0.814500,2.033100,-0.574800
0.806600,2.139000,-0.661300
0.807200,2.326900,-0.799100
0.752300,2.462300,-0.926000
0.652500,2.555900,-1.049100
0.516400,2.652600,-1.173200
0.368400,2.691000,-1.271100
0.214200,2.694200,-1.374600
0.064300,2.896200,-1.588200
-0.109700,2.985100,-1.736300
-0.285900,2.900200,-1.793900
-0.469900,2.848500,-1.878600
-0.655000,2.827600,-1.979100
-0.819800,2.749600,-2.041100
-0.980600,2.621900,-2.073300
-1.158900,2.519200,-2.114400
-1.309300,2.376900,-2.116100
-1.437400,2.190400,-2.096800
-1.516300,1.958100,-2.038300
-1.586000,1.748800,-1.969200
-1.589200,1.483500,-1.852500
-1.458700,1.209600,-1.642300
-1.386800,1.014400,-1.508300
-1.952500,0.592700,-1.992200
-1.947200,0.344800,-1.954300
-1.139300,0.431600,-1.054200
-0.127800,0.631800,-0.073200
