CL1,CD1,CM1
0.199180,0.554170,0.081640
0.797560,0.495560,0.551910
0.869630,0.629340,0.717530
0.840290,0.798720,0.777770
0.967240,0.862550,0.933050
0.895910,1.024400,0.958180
0.957500,1.138100,1.051700
1.030800,1.268700,1.171000
1.016800,1.514000,1.225600
0.972380,1.639700,1.248400
0.883240,1.778400,1.290600
0.760750,1.879500,1.274400
0.622310,1.960800,1.263000
0.504780,2.047200,1.249700
0.390080,2.139500,1.222800
0.285840,2.191000,1.193100
0.163690,2.193600,1.131800
0.069010,2.207700,1.078800
-0.016400,2.190900,1.018600
-0.092670,2.164300,0.937490
-0.170660,2.046400,0.769120
-0.223040,1.927000,0.644500
-0.278440,1.901700,0.561810
-0.319500,1.891600,0.519940
-0.336160,1.810900,0.417620
-0.336120,1.753300,0.348770
-0.310860,1.662000,0.274120
-0.249600,1.541500,0.195940
-0.185220,1.443400,0.136420
-0.102890,1.314100,0.078420
0.038790,1.168800,0.013640
0.234550,0.972700,-0.092480
0.460410,0.794130,-0.203640
0.488130,0.753100,-0.155030
0.328350,0.718740,-0.092350
0.193980,0.619260,-0.064850
-0.041640,0.643830,-0.027440
-0.194000,0.619300,0.064800
-0.328300,0.718700,0.092400
-0.488100,0.753100,0.155000
-0.460400,0.794100,0.203600
-0.234600,0.972700,0.092500
-0.038800,1.168800,-0.013600
0.102900,1.314100,-0.078400
0.185200,1.443400,-0.136400
0.249600,1.541500,-0.195900
0.310900,1.662000,-0.274100
0.336100,1.753300,-0.348800
0.336200,1.810900,-0.417600
0.319500,1.891600,-0.519900
0.278400,1.901700,-0.561800
0.223000,1.927000,-0.644500
0.170700,2.046400,-0.769100
0.092700,2.164300,-0.937500
0.016400,2.190900,-1.018600
-0.069000,2.207700,-1.078800
-0.163700,2.193600,-1.131800
-0.285800,2.191000,-1.193100
-0.390100,2.139500,-1.222800
-0.504800,2.047200,-1.249700
-0.622300,1.960800,-1.263000
-0.760700,1.879500,-1.274400
-0.883200,1.778400,-1.290600
-0.972400,1.639700,-1.248400
-1.016800,1.514000,-1.225600
-1.030800,1.268700,-1.171000
-0.957500,1.138100,-1.051700
-0.895900,1.024400,-0.958200
-0.967200,0.862600,-0.933000
-0.840300,0.798700,-0.777800
-0.869600,0.629300,-0.717500
-0.797600,0.495600,-0.551900
-0.199200,0.554200,-0.081600
