CL1,CD1,CM1
0.160190,0.755010,0.054390
0.558080,0.611740,0.375020
0.789770,0.728790,0.604750
0.914170,0.835420,0.750730
0.983170,0.960180,0.858030
1.058300,1.097100,0.967020
1.119400,1.248100,1.074100
1.167800,1.445200,1.160100
1.164200,1.621600,1.213700
1.111200,1.775700,1.232400
1.060600,1.988500,1.281500
0.934760,2.074900,1.254700
0.790370,2.154600,1.227500
0.664510,2.253200,1.203800
0.551030,2.356300,1.183300
0.419910,2.410500,1.140200
0.316300,2.530100,1.121500
0.204610,2.552000,1.065600
0.084330,2.457200,0.958710
-0.016980,2.394500,0.850240
-0.105850,2.321000,0.747310
-0.197010,2.159300,0.601150
-0.247340,2.122300,0.528490
-0.293220,2.060900,0.454030
-0.330850,2.005000,0.386840
-0.345260,1.903000,0.316150
-0.325140,1.816300,0.255220
-0.281110,1.698400,0.194380
-0.192890,1.538500,0.135810
-0.107210,1.390500,0.092060
0.004060,1.221700,0.049170
0.143000,1.106800,-0.002790
0.448870,0.868930,-0.165930
0.558180,0.759150,-0.170180
0.393440,0.752240,-0.077490
0.191840,0.679880,-0.030900
0.005280,0.770880,-0.002650
-0.191800,0.679900,0.030900
-0.393400,0.752200,0.077500
-0.558200,0.759200,0.170200
-0.448900,0.868900,0.165900
-0.143000,1.106800,0.002800
-0.004100,1.221700,-0.049200
0.107200,1.390500,-0.092100
0.192900,1.538500,-0.135800
0.281100,1.698400,-0.194400
0.325100,1.816300,-0.255200
0.345300,1.903000,-0.316100
0.330800,2.005000,-0.386800
0.293200,2.060900,-0.454000
0.247300,2.122300,-0.528500
0.197000,2.159300,-0.601100
0.105800,2.321000,-0.747300
0.017000,2.394500,-0.850200
-0.084300,2.457200,-0.958700
-0.204600,2.552000,-1.065600
-0.316300,2.530100,-1.121500
-0.419900,2.410500,-1.140200
-0.551000,2.356300,-1.183300
-0.664500,2.253200,-1.203800
-0.790400,2.154600,-1.227500
-0.934800,2.074900,-1.254700
-1.060600,1.988500,-1.281500
-1.111200,1.775700,-1.232400
-1.164200,1.621600,-1.213700
-1.167800,1.445200,-1.160100
-1.119400,1.248100,-1.074100
-1.058300,1.097100,-0.967000
-0.983200,0.960200,-0.858000
-0.914200,0.835400,-0.750700
-0.789800,0.728800,-0.604700
-0.558100,0.611700,-0.375000
-0.160200,0.755000,-0.054400
