CL1,CD1,CM1
0.234060,0.859290,0.097520
0.386270,0.852520,0.238220
0.507020,0.907540,0.359650
0.624260,0.970950,0.464670
0.753770,1.043300,0.554800
0.831970,1.160200,0.624830
0.918880,1.328700,0.696080
0.949740,1.478800,0.734660
1.014400,1.644500,0.776890
0.981970,1.822000,0.793350
0.890800,1.906200,0.774920
0.785140,1.960700,0.743190
0.663780,2.040100,0.721200
0.550850,2.143800,0.704110
0.452090,2.204700,0.673580
0.360750,2.294800,0.648340
0.267620,2.349200,0.611150
0.164220,2.389900,0.572490
0.052987,2.400400,0.525650
-0.014422,2.449100,0.487820
-0.077826,2.412100,0.428320
-0.130120,2.314100,0.363760
-0.180590,2.230100,0.307940
-0.204860,2.144900,0.254850
-0.188860,1.962200,0.178710
-0.193870,1.905200,0.147020
-0.148470,1.771300,0.096820
-0.097163,1.648200,0.062960
-0.033808,1.554300,0.036540
0.052749,1.451200,0.009690
0.178400,1.328000,-0.024910
0.454650,1.131700,-0.115360
0.514970,1.054800,-0.103410
0.443550,1.074200,-0.071070
0.239440,1.154400,-0.030090
0.095936,1.206200,-0.015250
-0.038728,1.255400,0.002780
-0.095900,1.206200,0.015300
-0.239400,1.154400,0.030100
-0.443500,1.074200,0.071100
-0.515000,1.054800,0.103400
-0.454700,1.131700,0.115400
-0.178400,1.328000,0.024900
-0.052700,1.451100,-0.009700
0.033800,1.554300,-0.036500
0.097200,1.648200,-0.063000
0.148500,1.771300,-0.096800
0.193900,1.905100,-0.147000
0.188900,1.962200,-0.178700
0.204900,2.144900,-0.254900
0.180600,2.230100,-0.307900
0.130100,2.314100,-0.363800
0.077800,2.412100,-0.428300
0.014400,2.449100,-0.487800
-0.053000,2.400400,-0.525600
-0.164200,2.389900,-0.572500
-0.267600,2.349200,-0.611100
-0.360700,2.294800,-0.648300
-0.452100,2.204700,-0.673600
-0.550800,2.143700,-0.704100
-0.663800,2.040100,-0.721200
-0.785100,1.960700,-0.743200
-0.890800,1.906200,-0.774900
-0.982000,1.822000,-0.793400
-1.014400,1.644500,-0.776900
-0.949700,1.478800,-0.734700
-0.918900,1.328700,-0.696100
-0.832000,1.160200,-0.624800
-0.753800,1.043300,-0.554800
-0.624300,0.970900,-0.464700
-0.507000,0.907500,-0.359700
-0.386300,0.852500,-0.238200
-0.234100,0.859300,-0.097500
