time,u_x,u_y,u_z
0.027342,-5.70854001608762e-06,-5.159972037046979e-08,2.873605842719691e-06
0.051100,-3.27712206378643e-05,-4.761412012246187e-07,1.656394696404307e-05
0.076262,-0.0001024671238206397,-2.230794571556459e-06,5.206854907866688e-05
0.100333,-0.0002229514424904106,-6.693178489546858e-06,0.0001139792323955247
0.126411,-0.0004276382729175701,-1.742420333344275e-05,0.0002203184208048296
0.153269,-0.0007345990759215564,-3.947842959232641e-05,0.0003817729907817092
0.184141,-0.001229141346404143,-8.713490484658424e-05,0.0006445656841603748
0.211535,-0.00181379513097771,-0.0001588649440308902,0.0009574877871677575
0.244515,-0.002724144016484268,-0.0002979804733352856,0.001451026720243928
0.276010,-0.003825015558790755,-0.000504530171308827,0.002061151873706367
0.310042,-0.005290761298045916,-0.0008328234476575377,0.002895064909046874
0.345217,-0.007134144062735049,-0.001306843830304976,0.003968169444566026
0.392197,-0.01018041590040233,-0.002178832931857799,0.005771366760333395
0.440544,-0.01410474983360499,-0.0033772561898756,0.008112370202052981
0.486297,-0.01865043636685976,-0.00479562703117632,0.01082738941703943
0.542172,-0.02545340564840275,-0.006900952401960371,0.01488228792338549
0.604459,-0.0348910843612922,-0.00972220616511843,0.02046593096420948
0.673304,-0.0478531356290883,-0.01344662388364362,0.0280641281248326
0.746260,-0.06473512579381217,-0.01819862863853205,0.0379030167781508
0.835818,-0.09029903323224672,-0.02542237723391192,0.05278054006950522
0.925883,-0.1218916971427195,-0.03445891891186495,0.07117571723527058
1.025883,-0.1647315015577524,-0.046587268851583,0.09601035151205022
1.125883,-0.2168107013912973,-0.06079376829816205,0.1259476553338881
1.225883,-0.2791162669718713,-0.0770819594820796,0.1614346132776152
1.325883,-0.3524609571013828,-0.09566946942716353,0.202862172332
1.425883,-0.4377073617777923,-0.1167499055453019,0.2506334965861258
1.525883,-0.5359425423171362,-0.1401487005217172,0.3050591034040362
1.625883,-0.6483858004268451,-0.1654719148122508,0.3664274241587303
1.725883,-0.776228415337798,-0.1924364082407581,0.4350427717855105
1.825883,-0.9204552894794766,-0.2209522833210324,0.5111641664353918
1.925883,-1.08218119077461,-0.2508442187237829,0.5950831790862806
2.025883,-1.262707038545633,-0.2815572910409211,0.6870231815761156
2.125883,-1.463474977797014,-0.3122415170327156,0.7870995475918672
2.225883,-1.685865268999515,-0.3421456430455238,0.89545264364375
2.325883,-1.931126576622654,-0.3706546307114885,1.012162549931573
2.425883,-2.20050803297577,-0.396973738278339,1.137207184521123
2.525883,-2.49544964748627,-0.4198347916696297,1.270404182391916
2.625883,-2.816576345664827,-0.4376114314366496,1.410912380600214
2.725883,-3.163157147060472,-0.4486940954361032,1.557182827409693
2.825883,-3.534168617327497,-0.4517755382047978,1.707658946665125
2.925883,-3.928397202541189,-0.4457923925231457,1.860674702544391
3.025883,-4.34476285425402,-0.4297557948135075,2.014734442571934
3.125883,-4.782067522155837,-0.4026743230283745,2.168224765287865
3.225883,-5.238973936486046,-0.3636471002272782,2.319451694707008
3.325883,-5.714144834983669,-0.3119902948272712,2.466940050017908
3.425883,-6.206038518542449,-0.2472411115934429,2.609158476622234
3.525883,-6.712976514834306,-0.1689871468563467,2.744619666547389
3.625883,-7.233359516021832,-0.07676961277701742,2.871876578253566
